id|nct_id|outcome_id|result_group_id|ctgov_group_code|classification|category|title|description|units|param_type|param_value|param_value_num|dispersion_type|dispersion_value|dispersion_value_num|dispersion_lower_limit|dispersion_upper_limit|explanation_of_na|dispersion_upper_limit_raw|dispersion_lower_limit_raw
1927480611|NCT01115855|258432022|837835197|OG000|||Number of Participants With First Occurrence of Fatal/Non-Fatal Stroke|Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|participants|NUMBER|3|3.0||||||||
1927480713|NCT01115855|258432031|837835215|OG000|Change at Month 25 (n=62,63)||Change From Baseline in Urine Albumin-to-Creatinine Ratio at Months 5, 9, 13, 17, 21, 25, 29, 33, 37, 42, 48 and Final Visit||microgram per gram creatinine (mg/gCr)|MEAN|17.17|17.17|Standard Deviation|489.08|489.08|||||
1927480587|NCT01115855|258432012|837835177|OG000|||Number of Participants With First Occurrence of Cardiovascular (CV) Mortality or Hospitalization Due to Heart Failure (HF)|CV mortality was defined as any death due to HF, myocardial infarction, cardiac arrhythmia, stroke or cerebral vascular accident, other CV cause (such as aneurysm or pulmonary embolism). Hospitalization due to HF was defined as an overnight stay, or longer, in a hospital environment (emergency room, observation unit or in-patient care, or similar facility including admission to a day care facility) due to HF. Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|participants|NUMBER|33|33.0||||||||
1927480588|NCT01115855|258432012|837835178|OG001|||Number of Participants With First Occurrence of Cardiovascular (CV) Mortality or Hospitalization Due to Heart Failure (HF)|CV mortality was defined as any death due to HF, myocardial infarction, cardiac arrhythmia, stroke or cerebral vascular accident, other CV cause (such as aneurysm or pulmonary embolism). Hospitalization due to HF was defined as an overnight stay, or longer, in a hospital environment (emergency room, observation unit or in-patient care, or similar facility including admission to a day care facility) due to HF. Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|participants|NUMBER|36|36.0||||||||
1927480589|NCT01115855|258432013|837835179|OG000|||Number of Participants With First Occurrence of Cardiovascular (CV) Mortality, Hospitalization Due to Heart Failure (HF), or Addition/Increase of Heart Failure (HF) Medication|CV mortality was defined as any death due to HF, myocardial infarction, cardiac arrhythmia, stroke or cerebral vascular accident, other CV cause (such as aneurysm or pulmonary embolism). Hospitalization due to HF was defined as an overnight stay, or longer, in a hospital environment (emergency room, observation unit or in-patient care, or similar facility including admission to a day care facility) due to HF. Addition/ increase of HF medications was defined as administration of new HF medication or increase of 50 percentage (%) or more in dose of HF medication for \>= 3 days. Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|participants|NUMBER|42|42.0||||||||
1927480590|NCT01115855|258432013|837835180|OG001|||Number of Participants With First Occurrence of Cardiovascular (CV) Mortality, Hospitalization Due to Heart Failure (HF), or Addition/Increase of Heart Failure (HF) Medication|CV mortality was defined as any death due to HF, myocardial infarction, cardiac arrhythmia, stroke or cerebral vascular accident, other CV cause (such as aneurysm or pulmonary embolism). Hospitalization due to HF was defined as an overnight stay, or longer, in a hospital environment (emergency room, observation unit or in-patient care, or similar facility including admission to a day care facility) due to HF. Addition/ increase of HF medications was defined as administration of new HF medication or increase of 50 percentage (%) or more in dose of HF medication for \>= 3 days. Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|participants|NUMBER|45|45.0||||||||
1927480591|NCT01115855|258432014|837835181|OG000|During treatment||Number of Participants With With First Occurrence of All-Cause Mortality|All-cause mortality was defined as any CV mortality, Non-CV mortality, including malignant tumor, pulmonary disease and trauma.CV mortality was defined as death due to HF, myocardial infarction, cardiac arrhythmia, stroke or cerebral vascular accident, other CV cause (such as aneurysm or pulmonary embolism). Mortality during treatment, within 30 days of treatment discontinuation and after 30 days of discontinuation was reported. Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|participants|NUMBER|6|6.0||||||||
1927480592|NCT01115855|258432014|837835182|OG001|During treatment||Number of Participants With With First Occurrence of All-Cause Mortality|All-cause mortality was defined as any CV mortality, Non-CV mortality, including malignant tumor, pulmonary disease and trauma.CV mortality was defined as death due to HF, myocardial infarction, cardiac arrhythmia, stroke or cerebral vascular accident, other CV cause (such as aneurysm or pulmonary embolism). Mortality during treatment, within 30 days of treatment discontinuation and after 30 days of discontinuation was reported. Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|participants|NUMBER|5|5.0||||||||
1927480593|NCT01115855|258432014|837835181|OG000|Within 30 days of treatment discontinuation||Number of Participants With With First Occurrence of All-Cause Mortality|All-cause mortality was defined as any CV mortality, Non-CV mortality, including malignant tumor, pulmonary disease and trauma.CV mortality was defined as death due to HF, myocardial infarction, cardiac arrhythmia, stroke or cerebral vascular accident, other CV cause (such as aneurysm or pulmonary embolism). Mortality during treatment, within 30 days of treatment discontinuation and after 30 days of discontinuation was reported. Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|participants|NUMBER|1|1.0||||||||
1927480594|NCT01115855|258432014|837835182|OG001|Within 30 days of treatment discontinuation||Number of Participants With With First Occurrence of All-Cause Mortality|All-cause mortality was defined as any CV mortality, Non-CV mortality, including malignant tumor, pulmonary disease and trauma.CV mortality was defined as death due to HF, myocardial infarction, cardiac arrhythmia, stroke or cerebral vascular accident, other CV cause (such as aneurysm or pulmonary embolism). Mortality during treatment, within 30 days of treatment discontinuation and after 30 days of discontinuation was reported. Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|participants|NUMBER|1|1.0||||||||
1927480595|NCT01115855|258432014|837835181|OG000|After 30 days of treatment discontinuation||Number of Participants With With First Occurrence of All-Cause Mortality|All-cause mortality was defined as any CV mortality, Non-CV mortality, including malignant tumor, pulmonary disease and trauma.CV mortality was defined as death due to HF, myocardial infarction, cardiac arrhythmia, stroke or cerebral vascular accident, other CV cause (such as aneurysm or pulmonary embolism). Mortality during treatment, within 30 days of treatment discontinuation and after 30 days of discontinuation was reported. Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|participants|NUMBER|10|10.0||||||||
1927480596|NCT01115855|258432014|837835182|OG001|After 30 days of treatment discontinuation||Number of Participants With With First Occurrence of All-Cause Mortality|All-cause mortality was defined as any CV mortality, Non-CV mortality, including malignant tumor, pulmonary disease and trauma.CV mortality was defined as death due to HF, myocardial infarction, cardiac arrhythmia, stroke or cerebral vascular accident, other CV cause (such as aneurysm or pulmonary embolism). Mortality during treatment, within 30 days of treatment discontinuation and after 30 days of discontinuation was reported. Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|participants|NUMBER|4|4.0||||||||
1927480597|NCT01115855|258432015|837835183|OG000|||Number of Participants With With First Occurrence of Cardiovascular Mortality|CV mortality was defined as death due to HF, myocardial infarction, cardiac arrhythmia, stroke or cerebral vascular accident, other CV cause (such as aneurysm or pulmonary embolism). Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|participants|NUMBER|14|14.0||||||||
1927480598|NCT01115855|258432015|837835184|OG001|||Number of Participants With With First Occurrence of Cardiovascular Mortality|CV mortality was defined as death due to HF, myocardial infarction, cardiac arrhythmia, stroke or cerebral vascular accident, other CV cause (such as aneurysm or pulmonary embolism). Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|participants|NUMBER|6|6.0||||||||
1927480599|NCT01115855|258432016|837835185|OG000|||Number of Participants With First Occurrence of All-cause Hospitalization|All cause hospitalization included all hospitalizations as CV hospitalization, which was defined as any hospitalization due to CV events including HF, myocardial infarction, arrhythmia, angina pectoris and non-CV hospitalizations which was defined as any hospitalization due to non-CV events including renal dysfunction, hyperkalaemia, malignant tumor and pulmonary disease. Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|participants|NUMBER|45|45.0||||||||
1927480600|NCT01115855|258432016|837835186|OG001|||Number of Participants With First Occurrence of All-cause Hospitalization|All cause hospitalization included all hospitalizations as CV hospitalization, which was defined as any hospitalization due to CV events including HF, myocardial infarction, arrhythmia, angina pectoris and non-CV hospitalizations which was defined as any hospitalization due to non-CV events including renal dysfunction, hyperkalaemia, malignant tumor and pulmonary disease. Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|participants|NUMBER|58|58.0||||||||
1927480601|NCT01115855|258432017|837835187|OG000|||Number of Participants With First Occurrence of Hospitalization Due to Heart Failure (HF)|Hospitalization due to HF was defined as an overnight stay, or longer, in a hospital environment (emergency room, observation unit or in-patient care, or similar facility including admission to a day care facility) due to HF. Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|participants|NUMBER|27|27.0||||||||
1927480602|NCT01115855|258432017|837835188|OG001|||Number of Participants With First Occurrence of Hospitalization Due to Heart Failure (HF)|Hospitalization due to HF was defined as an overnight stay, or longer, in a hospital environment (emergency room, observation unit or in-patient care, or similar facility including admission to a day care facility) due to HF. Hazard ratio of Eplerenone versus placebo for first occurrence of the event was obtained from a Cox proportional hazards model.|participants|NUMBER|33|33.0||||||||
