id|nct_id|outcome_id|result_group_id|ctgov_group_code|scope|units|count
621033585|NCT03611582|258513311|838107212|OG000|Measure|Participants|407
621033586|NCT03611582|258513311|838107213|OG001|Measure|Participants|204
621033587|NCT03611582|258513312|838107214|OG000|Measure|Participants|407
621033588|NCT03611582|258513312|838107215|OG001|Measure|Participants|204
621033589|NCT03611582|258513313|838107216|OG000|Measure|Participants|373
621033590|NCT03611582|258513313|838107217|OG001|Measure|Participants|189
621033591|NCT03611582|258513314|838107218|OG000|Measure|Participants|373
621033592|NCT03611582|258513314|838107219|OG001|Measure|Participants|189
621033593|NCT03611582|258513315|838107220|OG000|Measure|Participants|373
621033594|NCT03611582|258513315|838107221|OG001|Measure|Participants|189
621033595|NCT03611582|258513316|838107222|OG000|Measure|Participants|371
621033596|NCT03611582|258513316|838107223|OG001|Measure|Participants|189
621033597|NCT03611582|258513317|838107224|OG000|Measure|Participants|372
621033598|NCT03611582|258513317|838107225|OG001|Measure|Participants|188
621033599|NCT03611582|258513318|838107226|OG000|Measure|Participants|407
621033600|NCT03611582|258513318|838107227|OG001|Measure|Participants|204
621033601|NCT03611582|258513319|838107228|OG000|Measure|Participants|373
621033602|NCT03611582|258513319|838107229|OG001|Measure|Participants|189
621033603|NCT03611582|258513320|838107230|OG000|Measure|Participants|373
621033604|NCT03611582|258513320|838107231|OG001|Measure|Participants|189
621033605|NCT03611582|258513321|838107232|OG000|Measure|Participants|369
621033606|NCT03611582|258513321|838107233|OG001|Measure|Participants|184
621033607|NCT03611582|258513322|838107234|OG000|Measure|Participants|369
621033608|NCT03611582|258513322|838107235|OG001|Measure|Participants|184
621033609|NCT03611582|258513323|838107236|OG000|Measure|Participants|355
621033610|NCT03611582|258513323|838107237|OG001|Measure|Participants|176
621033611|NCT03611582|258513324|838107238|OG000|Measure|Participants|346
621033612|NCT03611582|258513324|838107239|OG001|Measure|Participants|170
621033613|NCT03611582|258513325|838107240|OG000|Measure|Participants|372
621033614|NCT03611582|258513325|838107241|OG001|Measure|Participants|188
621033615|NCT03611582|258513326|838107242|OG000|Measure|Participants|363
621033616|NCT03611582|258513326|838107243|OG001|Measure|Participants|181
621033617|NCT03611582|258513327|838107244|OG000|Measure|Participants|363
621033618|NCT03611582|258513327|838107245|OG001|Measure|Participants|181
621033619|NCT03611582|258513328|838107246|OG000|Measure|Participants|363
621033620|NCT03611582|258513328|838107247|OG001|Measure|Participants|181
621033621|NCT03611582|258513329|838107248|OG000|Measure|Participants|363
621033622|NCT03611582|258513329|838107249|OG001|Measure|Participants|181
621033623|NCT03611582|258513330|838107250|OG000|Measure|Participants|346
621033624|NCT03611582|258513330|838107251|OG001|Measure|Participants|171
621033625|NCT03611582|258513331|838107252|OG000|Measure|Participants|363
621033626|NCT03611582|258513331|838107253|OG001|Measure|Participants|181
621033627|NCT03611582|258513332|838107254|OG000|Measure|Participants|363
621033628|NCT03611582|258513332|838107255|OG001|Measure|Participants|182
621033629|NCT03611582|258513333|838107256|OG000|Measure|Participants|343
621033630|NCT03611582|258513333|838107257|OG001|Measure|Participants|162
621033631|NCT03611582|258513334|838107258|OG000|Measure|Participants|364
621033632|NCT03611582|258513334|838107259|OG001|Measure|Participants|181
621033633|NCT03611582|258513335|838107260|OG000|Measure|Participants|396
621033634|NCT03611582|258513335|838107261|OG001|Measure|Participants|197
621033635|NCT03611582|258513336|838107262|OG000|Measure|Participants|407
621033636|NCT03611582|258513336|838107263|OG001|Measure|Participants|204
621033637|NCT03611582|258513337|838107264|OG000|Measure|Participants|407
621033638|NCT03611582|258513337|838107265|OG001|Measure|Participants|204
621033639|NCT03611582|258513338|838107266|OG000|Measure|Participants|334
621033640|NCT03611582|258513338|838107267|OG001|Measure|Participants|163
621033641|NCT03611582|258513339|838107268|OG000|Measure|Participants|332
621033642|NCT03611582|258513339|838107269|OG001|Measure|Participants|161
621033643|NCT03611582|258513340|838107270|OG000|Measure|Participants|332
621033644|NCT03611582|258513340|838107271|OG001|Measure|Participants|161
621033645|NCT03611582|258513341|838107272|OG000|Measure|Participants|332
621033646|NCT03611582|258513341|838107273|OG001|Measure|Participants|162
621378473|NCT03594110|258654786|838582268|OG000|Measure|Participants|3305
