id|nct_id|ctgov_group_code|event_type|classification|subjects_affected|subjects_at_risk|created_at|updated_at
227163066|NCT03611582|EG001|other|Total, other adverse events|177|204|2026-08-29 03:26:03.189406|2026-08-29 03:26:03.189406
227163269|NCT03611582|EG000|serious|Total, serious adverse events|37|407|2026-08-29 03:26:03.242146|2026-08-29 03:26:03.242146
227163270|NCT03611582|EG001|serious|Total, serious adverse events|6|204|2026-08-29 03:26:03.242146|2026-08-29 03:26:03.242146
227170138|NCT00397189|EG000|deaths|Total, all-cause mortality|||2026-08-29 03:52:07.431523|2026-08-29 03:52:07.431523
227170139|NCT00397189|EG001|deaths|Total, all-cause mortality|||2026-08-29 03:52:07.431523|2026-08-29 03:52:07.431523
227170337|NCT00397189|EG000|other|Total, other adverse events|32|394|2026-08-29 03:52:07.501707|2026-08-29 03:52:07.501707
227170338|NCT00397189|EG001|other|Total, other adverse events|42|395|2026-08-29 03:52:07.501707|2026-08-29 03:52:07.501707
227170536|NCT00397189|EG000|serious|Total, serious adverse events|1|394|2026-08-29 03:52:07.569409|2026-08-29 03:52:07.569409
227170537|NCT00397189|EG001|serious|Total, serious adverse events|3|395|2026-08-29 03:52:07.569409|2026-08-29 03:52:07.569409
227085458|NCT04998136|EG000|deaths|Total, all-cause mortality|0|101|2026-08-28 22:49:27.295914|2026-08-28 22:49:27.295914
227085459|NCT04998136|EG001|deaths|Total, all-cause mortality|0|49|2026-08-28 22:49:27.295914|2026-08-28 22:49:27.295914
227085613|NCT04998136|EG000|other|Total, other adverse events|80|101|2026-08-28 22:49:27.347501|2026-08-28 22:49:27.347501
227085614|NCT04998136|EG001|other|Total, other adverse events|34|49|2026-08-28 22:49:27.347501|2026-08-28 22:49:27.347501
227085768|NCT04998136|EG000|serious|Total, serious adverse events|13|101|2026-08-28 22:49:27.395586|2026-08-28 22:49:27.395586
227085769|NCT04998136|EG001|serious|Total, serious adverse events|4|49|2026-08-28 22:49:27.395586|2026-08-28 22:49:27.395586
