id|nct_id|outcome_type|title|description|time_frame|population|anticipated_posting_date|anticipated_posting_month_year|units|units_analyzed|dispersion_type|param_type
258925657|NCT01169259|PRIMARY|Number of Participants With Invasive Cancer of Any Type|Number of participants with invasive cancer of any type|5 years||||Participants|||COUNT_OF_PARTICIPANTS
258925658|NCT01169259|PRIMARY|Number of Participants With a Major Cardiovascular Event|Major cardiovascular event = a composite endpoint of myocardial infarction, stroke, and death from cardiovascular causes|5 years||||Participants|||COUNT_OF_PARTICIPANTS
258925659|NCT01169259|SECONDARY|Number of Participants Who Died From Invasive Cancer of Any Type|Number of participants who died from invasive cancer of any type|5 years||||Participants|||COUNT_OF_PARTICIPANTS
258925660|NCT01169259|SECONDARY|Number of Female Participants With Breast Cancer|Number of female participants with breast cancer|5 years||||Participants|||COUNT_OF_PARTICIPANTS
258925661|NCT01169259|SECONDARY|Number of Male Participants With Prostate Cancer|Number of male participants with prostate cancer|5 years||||Participants|||COUNT_OF_PARTICIPANTS
258925662|NCT01169259|SECONDARY|Number of Participants With Colorectal Cancer|Number of participants with colorectal cancer|5 years||||Participants|||COUNT_OF_PARTICIPANTS
258925663|NCT01169259|SECONDARY|Number of Participants With Cardiovascular Event in Expanded Composite Cardiovascular Endpoint|Expanded composite cardiovascular endpoint = a composite endpoint of myocardial infarction, stroke, death from cardiovascular causes, and coronary revascularization (coronary artery bypass grafting or percutaneous coronary intervention)|5 years||||Participants|||COUNT_OF_PARTICIPANTS
258925664|NCT01169259|SECONDARY|Number of Participants With Myocardial Infarction|Number of participants with myocardial infarction|5 years||||Participants|||COUNT_OF_PARTICIPANTS
258925665|NCT01169259|SECONDARY|Number of Participants With Stroke|Number of participants with stroke|5 years||||Participants|||COUNT_OF_PARTICIPANTS
258925666|NCT01169259|SECONDARY|Number of Participants Who Died From Cardiovascular Causes|Number of participants who died from cardiovascular causes|5 years||||Participants|||COUNT_OF_PARTICIPANTS
258925667|NCT01169259|SECONDARY|Number of Participants Who Died From Any Cause|Number of participants who died from any cause|5 years||||Participants|||COUNT_OF_PARTICIPANTS
258925668|NCT01169259|SECONDARY|Number of Participants With Invasive Cancer of Any Type, Excluding First 2 Years of Follow-up|Number of participants with invasive cancer of any type, excluding first 2 years of follow-up|5 years, excluding first 2 years of follow-up||||Participants|||COUNT_OF_PARTICIPANTS
258925669|NCT01169259|SECONDARY|Number of Participants With a Major Cardiovascular Event, Excluding First 2 Years of Follow-up|Major cardiovascular event = a composite endpoint of myocardial infarction, stroke, and death from cardiovascular causes; excluding first 2 years of follow-up|5 years, excluding first 2 years of follow-up||||Participants|||COUNT_OF_PARTICIPANTS
258925670|NCT01169259|OTHER_PRE_SPECIFIED|Number of Participants Who Died From Invasive Cancer of Any Type, Excluding First 2 Years of Follow-up|Number of participants who died from invasive cancer of any type, excluding first 2 years of follow-up|5 years, excluding first 2 years of follow-up||||Participants|||COUNT_OF_PARTICIPANTS
258925671|NCT01169259|OTHER_PRE_SPECIFIED|Number of Participants Who Died From Any Cause, Excluding First 2 Years of Follow-up|Number of participants who died from any cause, excluding first 2 years of follow-up|5 years, excluding first 2 years of follow-up||||Participants|||COUNT_OF_PARTICIPANTS
258925672|NCT01169259|OTHER_PRE_SPECIFIED|Number of Participants With Percutaneous Coronary Intervention|Number of participants with percutaneous coronary intervention|5 years||||Participants|||COUNT_OF_PARTICIPANTS
258925673|NCT01169259|OTHER_PRE_SPECIFIED|Number of Participants With Coronary-artery Bypass Grafting|Number of participants with coronary-artery bypass grafting|5 years||||Participants|||COUNT_OF_PARTICIPANTS
258925674|NCT01169259|OTHER_PRE_SPECIFIED|Number of Participants With Total Coronary Heart Disease|Total coronary heart disease = a composite of myocardial infarction, coronary revascularization (percutaneous coronary intervention or coronary-artery bypass grafting), and death from coronary heart disease|5 years||||Participants|||COUNT_OF_PARTICIPANTS
258925675|NCT01169259|OTHER_PRE_SPECIFIED|Number of Participants With Ischemic Stroke|Number of participants with ischemic stroke|5 years||||Participants|||COUNT_OF_PARTICIPANTS
258925676|NCT01169259|OTHER_PRE_SPECIFIED|Number of Participants With Hemorrhagic Stroke|Number of participants with hemorrhagic stroke|5 years||||Participants|||COUNT_OF_PARTICIPANTS
258925677|NCT01169259|OTHER_PRE_SPECIFIED|Number of Participants Who Died From Myocardial Infarction|Number of participants who died from myocardial infarction|5 years||||Participants|||COUNT_OF_PARTICIPANTS
258925678|NCT01169259|OTHER_PRE_SPECIFIED|Number of Participants Who Died From Coronary Heart Disease|Number of participants who died from coronary heart disease|5 years||||Participants|||COUNT_OF_PARTICIPANTS
258925679|NCT01169259|OTHER_PRE_SPECIFIED|Number of Participants Who Died From Stroke|Number of participants who died from stroke|5 years||||Participants|||COUNT_OF_PARTICIPANTS
258925680|NCT01169259|OTHER_PRE_SPECIFIED|Number of Participants With Myocardial Infarction, Excluding First 2 Years of Follow-up|Number of participants with myocardial infarction, excluding first 2 years of follow-up|5 years, excluding first 2 years of follow-up||||Participants|||COUNT_OF_PARTICIPANTS
258925681|NCT01169259|OTHER_PRE_SPECIFIED|Number of Participants With Conventional Colorectal Adenoma|tubular, tubulovillous, villous adenoma; adenoma w/high-grade dysplasia|5 years||||Participants|||COUNT_OF_PARTICIPANTS
258925682|NCT01169259|OTHER_PRE_SPECIFIED|Number of Participants With Serrated Colorectal Polyps|hyperplastic polyp, traditional serrated adenoma, sessile serrated polyp|5 years||||Participants|||COUNT_OF_PARTICIPANTS
