id|nct_id|outcome_type|title|description|time_frame|population|anticipated_posting_date|anticipated_posting_month_year|units|units_analyzed|dispersion_type|param_type
258532795|NCT04356937|PRIMARY|Mechanical Ventilation or Death|Time from administration of the investigational agent (or placebo) to requiring mechanical ventilation and intubation, or death for subjects who die prior to intubation. The percentages of patients who have been intubated or died as of day 14 and day 28 are estimated from the Kaplan-Meier curve.|28 days|Modified intention-to-treat (mITT) population, which includes 242 patients (161 in the tocilizumab group and 81 in the placebo group) who underwent randomization and received either tocilizumab or placebo before intubation or death|||percentage of patients with event||95% Confidence Interval|NUMBER
258532796|NCT04356937|SECONDARY|Clinical Worsening on Ordinal Scale|"Time from administration of the investigational medication (or placebo) to at least one point worsening on the clinical improvement scale for subjects requiring supplemental oxygen (score \>= 3) at baseline, or at least two point worsening otherwise (score = 2 at baseline). The percentages of patients who have worsened as of day 14 and day 28 are estimated from the Kaplan-Meier curve.~Ordinal Scale~1. Discharged~2. Non-ICU hospital ward not requiring supplemental oxygen~3. Non-ICU hospital ward requiring supplemental oxygen~4. ICU or non-ICU hospital ward, requiring non-invasive ventilation or high-flow oxygen~5. ICU, requiring intubation and mechanical ventilation~6. ICU, requiring ECMO or mechanical ventilation and additional organ support~7. Death"|28 days|Modified intention-to-treat (mITT) population, which includes 242 patients (161 in the tocilizumab group and 81 in the placebo group) who underwent randomization and received either tocilizumab or placebo before intubation or death|||percentage of patients with event||95% Confidence Interval|NUMBER
258532797|NCT04356937|SECONDARY|Discontinuation of Supplemental Oxygen Among Patients Receiving it at Baseline|Time from administration of the investigational agent (or placebo) to absence of the need for supplemental oxygen among those who require at least supplemental oxygen at baseline. The percentages of patients who have discontinued supplemental oxygen as of day 14 and day 28 are estimated from the Kaplan-Meier curve.|28 days|A subset of 204 patients from the modified intention-to-treat (mITT) population who required at least supplemental oxygen at baseline. 138 patients in the tocilizumab group and 66 patients in the placebo group required at least supplemental oxygen at baseline.|||percentage of patients with event||95% Confidence Interval|NUMBER
258532798|NCT04356937|OTHER_PRE_SPECIFIED|Duration of Supplemental Oxygen|Time from initiation of supplemental oxygen to end of supplemental oxygen use during 28-day study follow-up period. We includes all subjects in the analysis by assigning all subjects who did not receive supplemental oxygen a value of 0. Subjects who died prior to discontinuation of supplemental oxygen were given a value of the number of days from when supplemental oxygen began until the end of the follow-up period.|28 days|Modified intention-to-treat (mITT) population, which includes 242 patients (161 in the tocilizumab group and 81 in the placebo group) who underwent randomization and received either tocilizumab or placebo before intubation or death|||days||Inter-Quartile Range|MEDIAN
258532799|NCT04356937|OTHER_PRE_SPECIFIED|Duration of Mechanical Ventilation|Time from initiation of mechanical ventilation to end of mechanical ventilation during 28-day study follow-up period, among patients who received mechanical ventilation. Event times of patients who died without discontinuation of mechanical ventilation were censored at 28 days. Median and inter-quartile range (IQR) were estimated using Kaplan-Meier curves. The upper limit for the IQR was not reached for both arms and entered as 28 in the outcome measure data table.|28 days|A subset of 19 patients from the modified intention-to-treat (mITT) population who received mechanical ventilation during the study follow-up period. 11 patients in the tocilizumab group and 8 patients in the placebo group received mechanical ventilation.|||days||Inter-Quartile Range|MEDIAN
258532800|NCT04356937|OTHER_PRE_SPECIFIED|Mortality|Time from administration of the investigational agent (or placebo) to death. The percentage of patients who have died as of day 14 and day 28 are estimated from the Kaplan-Meier curve.|28 days|Modified intention-to-treat (mITT) population, which includes 242 patients (161 in the tocilizumab group and 81 in the placebo group) who underwent randomization and received either tocilizumab or placebo before intubation or death|||percentage of patients with event||95% Confidence Interval|NUMBER
258532801|NCT04356937|OTHER_PRE_SPECIFIED|ICU Admission or Death Among Those Not in the ICU at the Time of Administration of Investigational Agent (or Placebo)|The percentage of subjects requiring ICU admission between baseline and 28 days is calculated by dividing the number of subjects requiring ICU admission over their hospitalization by the number of evaluable subjects (i.e., the number of subjects not in the ICU at the time of investigational treatment administration).|28 days|A subset of 233 patients from the modified intention-to-treat (mITT) population who were not in the ICU at baseline. 157 patients in the tocilizumab group and 76 patients in the placebo group were not in the ICU at baseline.|||percentage of patients with event|||NUMBER
258532802|NCT04356937|OTHER_PRE_SPECIFIED|Hospital Discharge|Time from administration of the investigational medication (or placebo) to initial hospital discharge. Event times for patient who die are censored at day 29 to indicate that they never left the hospital during the follow-up period. The percentages of patients who were discharged as of day 14 and day 28 are estimated from the Kaplan-Meier curve.|28 days|Modified intention-to-treat (mITT) population, which includes 242 patients (161 in the tocilizumab group and 81 in the placebo group) who underwent randomization and received either tocilizumab or placebo before intubation or death|||percentage of patients with event||95% Confidence Interval|NUMBER
258532803|NCT04356937|OTHER_PRE_SPECIFIED|Clinical Improvement on Ordinal Scale|"Time to first improvement from administration of the investigational agent (or placebo) of at least 2 points (or the maximum amount) on the ordinal scale. Event times for patients who died prior to reaching this endpoint are censored at 29 days.~Ordinal Scale~1. Discharged~2. Non-ICU hospital ward not requiring supplemental oxygen~3. Non-ICU hospital ward requiring supplemental oxygen~4. ICU or non-ICU hospital ward, requiring non-invasive ventilation or high-flow oxygen~5. ICU, requiring intubation and mechanical ventilation~6. ICU, requiring ECMO or mechanical ventilation and additional organ support~7. Death"|28 days|Modified intention-to-treat (mITT) population, which includes 242 patients (161 in the tocilizumab group and 81 in the placebo group) who underwent randomization and received either tocilizumab or placebo before intubation or death|||percentage of patients with event||95% Confidence Interval|NUMBER
258404965|NCT01492361|PRIMARY|Composite of CV Death, Nonfatal MI (Including Silent MI), Nonfatal Stroke, Coronary Revascularization, or Unstable Angina Determined to be Caused by Myocardial Ischemia by Invasive / Non-invasive Testing and Requiring Emergent Hospitalization.|The primary outcome measure was the number of patients with a first occurrence of any component of the composite of CV death, nonfatal MI (including silent MI), nonfatal stroke, coronary revascularization, or unstable angina determined to be caused by myocardial ischemia by invasive / non-invasive testing and requiring emergent hospitalization during the follow-up period.|Total follow-up time of up to approximately 6 years.||||Participants|||COUNT_OF_PARTICIPANTS
258404966|NCT01492361|SECONDARY|Composite of CV Death, Nonfatal MI (Including Silent MI), or Nonfatal Stroke.|The key secondary outcome measure was the number of patients with a first occurrence of any component of the composite of CV death, nonfatal MI (including silent MI), or nonfatal stroke during the follow-up period.|Total follow-up time of up to approximately 6 years.||||Participants|||COUNT_OF_PARTICIPANTS
258404967|NCT01492361|SECONDARY|Composite of CV Death or Nonfatal MI (Including Silent MI).|Number of patients with a first occurrence of any component of the composite of CV death or nonfatal MI (including silent MI) during the follow-up period.|Total follow-up time of up to approximately 6 years.||||Participants|||COUNT_OF_PARTICIPANTS
258404968|NCT01492361|SECONDARY|Fatal or Nonfatal MI (Including Silent MI).|Number of patients with a first occurrence of fatal or nonfatal MI (including silent MI) during the follow-up period.|Total follow-up time of up to approximately 6 years.||||Participants|||COUNT_OF_PARTICIPANTS
258404969|NCT01492361|SECONDARY|Non-elective Coronary Revascularization Represented as the Composite of Emergent or Urgent Classifications.|Number of patients with a first occurrence of non-elective coronary revascularization represented as the composite of emergent or urgent classifications during the follow-up period.|Total follow-up time of up to approximately 6 years.||||Participants|||COUNT_OF_PARTICIPANTS
258404970|NCT01492361|SECONDARY|CV Death.|Number of patients with an occurrence of CV death during the follow-up period.|Total follow-up time of up to approximately 6 years.||||Participants|||COUNT_OF_PARTICIPANTS
258404971|NCT01492361|SECONDARY|Unstable Angina Determined to be Caused by Myocardial Ischemia by Invasive / Non-invasive Testing and Requiring Emergent Hospitalization.|Number of patients with a first occurrence of unstable angina determined to be caused by myocardial ischemia by invasive / non-invasive testing and requiring emergent hospitalization during the follow-up period.|Total follow-up time of up to approximately 6 years.||||Participants|||COUNT_OF_PARTICIPANTS
258404972|NCT01492361|SECONDARY|Fatal or Nonfatal Stroke.|Number of patients with a first occurrence of fatal or nonfatal stroke during the follow-up period.|Total follow-up time of up to approximately 6 years.||||Participants|||COUNT_OF_PARTICIPANTS
258404973|NCT01492361|SECONDARY|Total Mortality, Nonfatal MI (Including Silent MI), or Nonfatal Stroke.|Number of patients with a first occurrence of any component of the composite of total mortality, nonfatal MI (including silent MI), or nonfatal stroke during the follow-up period.|Total follow-up time of up to approximately 6 years.||||Participants|||COUNT_OF_PARTICIPANTS
258404974|NCT01492361|SECONDARY|Total Mortality.|Number of patients with an occurrence of death from any cause during the follow-up period.|Total follow-up time of up to approximately 6 years.||||Participants|||COUNT_OF_PARTICIPANTS
258426293|NCT04998136|PRIMARY|Change in Body Weight (%) : In-trial Observation Period|Change in percentage (%) of body weight from baseline (week 0) to end of treatment (week 44) is presented in this outcome measure and it was evaluated based on the data from in-trial observation period. For end of treatment visit, data collected up to week 49 during the in-trial observation period is included in this Outcome Measure. In-trial observation period: The time period where the participants were assessed in the study. The in-trial observation period begins on the date of randomization (week 0) and ends at the end of study visit (week 49).|Baseline (week 0), end of treatment (week 44)|FAS included all randomized participants. Here, Overall number of participants analysed (N) = participants with available data for this outcome measure.|||Percentage of body weight||Standard Deviation|MEAN
258426294|NCT04998136|PRIMARY|Change in Body Weight (%) : On-treatment Observation Period|Change in percentage (%) of body weight from baseline (week 0) to end of treatment (week 44) is presented in this endpoint. The endpoint was evaluated based on the data from on-treatment observation period. On-treatment observation period: The time period where participants were treated with trial product. It started from the date of first trial product administration (week 0) to the date of last trial product administration (week 44) including 2 weeks of follow up. It excludes off treatment period which is defined as at least 2 consecutive missed doses.|Baseline (week 0), end of treatment (week 44)|FAS included all randomized participants. Here, Overall number of participants analysed (N) = participants with available data for this outcome measure.|||Percentage of body weight||Standard Deviation|MEAN
258426295|NCT04998136|PRIMARY|Number of Participants Achieved More Than or Equal to (≥) 5 Percent (%) Body Weight Reduction (Yes/no) : In-trial Observation Period|Number of participants who achieved body weight reduction more than or equal to 5 percent is presented at week 44 in this outcome measure and it was evaluated based on the data from in-trial observation period. For end of treatment visit, data collected up to week 49 during the in-trial observation period is included in this Outcome Measure. In-trial observation period: The time period where the participants were assessed in the study. The in-trial observation period begins on the date of randomization (week 0) and ends at the end of study visit (week 49).|At week 44|FAS included all randomized participants. Here, Overall number of participants analysed (N) = participants with available data for this outcome measure.|||Participants|||COUNT_OF_PARTICIPANTS
258426296|NCT04998136|PRIMARY|Number of Participants Achieved More Than or Equal to (≥) 5 Percent (%) Body Weight Reduction (Yes/no) : On-treatment Observation Period|Number of participants who achieved body weight reduction more than or equal to 5 percent is presented at week 44 in this endpoint. The endpoint was evaluated based on the data from on-treatment observation period. On-treatment observation period: the time period where partici-pants were treated with trial product. It started from the date of first trial product administration (week 0) to the date of last trial product administration (week 44) including 2 weeks of follow up. It excludes off treatment period which is defined as at least 2 consecutive missed doses.|At week 44|FAS included all randomized participants. Here, Overall number of participants analysed (N) = participants with available data for this outcome measure.|||Participants|||COUNT_OF_PARTICIPANTS
258426297|NCT04998136|SECONDARY|Number of Participants Achieved ≥ 10% Body Weight Reduction (Yes/no)|Number of participants who achieved body weight reduction more than or equal to 10 percent is presented at week 44 and it was evaluated based on the data from in-trial observation period. For end of treatment visit, data collected up to week 49 during the in-trial observation period is included in this Outcome Measure. In-trial period: The time period where the participants were assessed in the study. The in-trial period begins on the date of randomization (week 0) and ends at the end of study visit (week 49).|At week 44|FAS included all randomized participants. Here, Overall number of participants analysed (N) = participants with available data for this outcome measure.|||Participants|||COUNT_OF_PARTICIPANTS
258426298|NCT04998136|SECONDARY|Number of Participants Achieved ≥15% Body Weight Reduction (Yes/no)|Number of participants who achieved body weight reduction more than or equal to 15 percent is presented at week 44 and it was evaluated based on the data from in-trial observation period. For end of treatment visit, data collected up to week 49 during the in-trial observation period is included in this Outcome Measure. In-trial period: The time period where the participants were assessed in the study. The in-trial period begins on the date of randomization (week 0) and ends at the end of study visit (week 49).|At week 44|FAS included all randomized participants. Here, Overall number of participants analysed (N) = participants with available data for this outcome measure.|||Participants|||COUNT_OF_PARTICIPANTS
258426299|NCT04998136|SECONDARY|Number of Participants Achieved ≥20% Body Weight Reduction (Yes/no)|Number of participants who achieved body weight reduction more than or equal to 20 percent is presented at week 44 and it was evaluated based on the data from in-trial observation period. For end of treatment visit, data collected up to week 49 during the in-trial observation period is included in this Outcome Measure. In-trial period: The time period where the participants were assessed in the study. The in-trial period begins on the date of randomization (week 0) and ends at the end of study visit (week 49).|At week 44|FAS included all randomized participants. Here, Overall number of participants analysed (N) = participants with available data for this outcome measure.|||Participants|||COUNT_OF_PARTICIPANTS
258426300|NCT04998136|SECONDARY|Change in Waist Circumference|Change in waist circumference from baseline (week 0) to the end of treatment (week 44) is presented and it was evaluated based on the data from in-trial observation period. For end of treatment visit, data collected up to week 49 during the in-trial observation period is included in this Outcome Measure. In-trial period: The time period where the participants were assessed in the study. The in-trial period begins on the date of randomization (week 0) and ends at the end of study visit (week 49).|Baseline (week 0), end of treatment (week 44)|FAS included all randomized participants. Here, Overall number of participants analysed (N) = participants with available data for this outcome measure.|||Centimeter (cm)||Standard Deviation|MEAN
258426301|NCT04998136|SECONDARY|Change in Body Weight (kg)|Change in body weight in kilogram (kg) is presented from baseline (week 0) to the end of treatment (week 44) and it was evaluated based on the data from in-trial observation period. For end of treatment visit, data collected up to week 49 during the in-trial observation period is included in this Outcome Measure. In-trial period: The time period where the participants were assessed in the study. The in-trial period begins on the date of randomization (week 0) and ends at the end of study visit (week 49).|Baseline (week 0), end of treatment (week 44)|FAS included all randomized participants. Here, Overall number of participants analysed (N) = participants with available data for this outcome measure.|||Kg||Standard Deviation|MEAN
258426302|NCT04998136|SECONDARY|Change in Body Mass Index|Change in body mass index from baseline (week 0) to end of treatment (week 44) is presented and it was evaluated based on the data from in-trial observation period. For end of treatment visit, data collected up to week 49 during the in-trial observation period is included in this Outcome Measure. In-trial period: The time period where the participants were assessed in the study. The in-trial period begins on the date of randomization (week 0) and ends at the end of study visit (week 49).|Baseline (week 0), end of treatment (week 44)|FAS included all randomized participants. Here, Overall number of participants analysed (N) = participants with available data for this outcome measure.|||Kilogram per square meter (kg/m^2)||Standard Deviation|MEAN
258426303|NCT04998136|SECONDARY|Change in Systolic Blood Pressure (mmHg)|Change in systolic blood pressure from baseline (week 0) to end of treatment (week 44) is presented and it was evaluated based on the data from in-trial observation period. For end of treatment visit, data collected up to week 49 during the in-trial observation period is included in this Outcome Measure. In-trial period: The time period where the participants were assessed in the study. The in-trial period begins on the date of randomization (week 0) and ends at the end of study visit (week 49).|Baseline (week 0), end of treatment (week 44)|FAS included all randomized participants. Here, Overall number of participants analysed (N) = participants with available data for this outcome measure.|||Millimeter of mercury (mmHg)||Standard Deviation|MEAN
258426304|NCT04998136|SECONDARY|Change in Diastolic Blood Pressure|Change in diastolic blood pressure from baseline (week 0) to end of the treatment (week 44) is presented and it was evaluated based on the data from in-trial observation period. For end of treatment visit, data collected up to week 49 during the in-trial observation period is included in this Outcome Measure. In-trial period: The time period where the participants were assessed in the study. The in-trial period begins on the date of randomization (week 0) and ends at the end of study visit (week 49).|Baseline (week 0), end of treatment (week 44)|FAS included all randomized participants. Here, Overall number of participants analysed (N) = participants with available data for this outcome measure.|||MmHg||Standard Deviation|MEAN
258426305|NCT04998136|SECONDARY|Change in Total Cholesterol (mg/dL) - Ratio to Baseline|Change in total cholesterol in milligram per deciliter (mg/dL) from baseline (week 0) to end of treatment (week 44) as ratio to baseline is presented and it was evaluated based on the data from in-trial observation period. For end of treatment visit, data collected up to week 49 during the in-trial observation period is included in this Outcome Measure. In-trial period: The time period where the participants were assessed in the study. The in-trial period begins on the date of randomization (week 0) and ends at the end of study visit (week 49).|Baseline (week 0), end of treatment (week 44)|FAS included all randomized participants. Here, Overall number of participants analysed (N) = participants with available data for this outcome measure.|||Ratio of total cholesterol||Geometric Coefficient of Variation|GEOMETRIC_MEAN
258426306|NCT04998136|SECONDARY|Change in Total Cholesterol (mmol/L) - Ratio to Baseline|Change in total cholesterol in millimoles per liter (mmol/L) from baseline (week 0) to end of treatment (week 44) as ratio to baseline is presented and it was evaluated based on the data from in-trial observation period. For end of treatment visit, data collected up to week 49 during the in-trial observation period is included in this Outcome Measure. In-trial period: The time period where the participants were assessed in the study. The in-trial period begins on the date of randomization (week 0) and ends at the end of study visit (week 49).|Baseline (week 0), end of treatment (week 44)|FAS included all randomized participants. Here, Overall number of participants analysed (N) = participants with available data for this outcome measure.|||Ratio of total cholesterol||Geometric Coefficient of Variation|GEOMETRIC_MEAN
258426307|NCT04998136|SECONDARY|Change in High-density Lipoprotein (HDL) Cholesterol (mg/dL) - Ratio to Baseline|Change in HDL cholesterol in mg/dL from (week 0) to end of treatment (week 44) as ratio to baseline is presented and it was evaluated based on the data from in-trial observation period. For end of treatment visit, data collected up to week 49 during the in-trial observation period is included in this Outcome Measure. In-trial period: The time period where the participants were assessed in the study. The in-trial period begins on the date of randomization (week 0) and ends at the end of study visit (week 49).|Baseline (week 0), end of treatment (week 44)|FAS included all randomized participants. Here, Overall number of participants analysed (N) = participants with available data for this outcome measure.|||Ratio of HDL cholesterol||Geometric Coefficient of Variation|GEOMETRIC_MEAN
258426308|NCT04998136|SECONDARY|Change in High-density Lipoprotein (HDL) Cholesterol (mmol/L) - Ratio to Baseline|Change in HDL cholesterol in mmol/L from baseline (week 0) to end of treatment (week 44) as ratio to baseline is presented and it was evaluated based on the data from in-trial observation period. For end of treatment visit, data collected up to week 49 during the in-trial observation period is included in this Outcome Measure. In-trial period: The time period where the participants were assessed in the study. The in-trial period begins on the date of randomization (week 0) and ends at the end of study visit (week 49).|Baseline (week 0), end of treatment (week 44)|FAS included all randomized participants. Here, Overall number of participants analysed (N) = participants with available data for this outcome measure.|||Ratio of HDL cholesterol||Geometric Coefficient of Variation|GEOMETRIC_MEAN
258426309|NCT04998136|SECONDARY|Change in Low-density Lipoprotein (LDL) Cholesterol (mg/dL) - Ratio to Baseline|Change in LDL cholesterol in mg/dL from baseline (week 0) to end of treatment (week 44) as ratio to baseline is presented and it was evaluated based on the data from in-trial observation period. For end of treatment visit, data collected up to week 49 during the in-trial observation period is included in this Outcome Measure. In-trial period: The time period where the participants were assessed in the study. The in-trial period begins on the date of randomization (week 0) and ends at the end of study visit (week 49).|Baseline (week 0), end of treatment (week 44)|FAS included all randomized participants. Here, Overall number of participants analysed (N) = participants with available data for this outcome measure.|||Ratio of LDL cholesterol||Geometric Coefficient of Variation|GEOMETRIC_MEAN
258426310|NCT04998136|SECONDARY|Change in Low-density Lipoprotein (LDL) Cholesterol (mmol/L) - Ratio to Baseline|Change in LDL cholesterol in mmol/L from baseline (week 0) to end of treatment (week 44) as ratio to baseline presented and it was evaluated based on the data from in-trial observation period. For end of treatment visit, data collected up to week 49 during the in-trial observation period is included in this Outcome Measure. In-trial period: The time period where the participants were assessed in the study. The in-trial period begins on the date of randomization (week 0) and ends at the end of study visit (week 49).|Baseline (week 0), end of treatment (week 44)|FAS included all randomized participants. Here, Overall number of participants analysed (N) = participants with available data for this outcome measure.|||Ratio of LDL cholesterol||Geometric Coefficient of Variation|GEOMETRIC_MEAN
258426311|NCT04998136|SECONDARY|Change in Triglycerides (mg/dL) - Ratio to Baseline|Change in triglycerides in mg/dL from baseline (week 0) to end of treatment (week 44) as ratio to baseline is presented and it was evaluated based on the data from in-trial observation period. For end of treatment visit, data collected up to week 49 during the in-trial observation period is included in this Outcome Measure. In-trial period: The time period where the participants were assessed in the study. The in-trial period begins on the date of randomization (week 0) and ends at the end of study visit (week 49).|Baseline (week 0), end of treatment (week 44)|FAS included all randomized participants. Here, Overall number of participants analysed (N) = participants with available data for this outcome measure.|||Ratio of triglycerides||Geometric Coefficient of Variation|GEOMETRIC_MEAN
258426312|NCT04998136|SECONDARY|Change in Triglycerides (mmol/L) - Ratio to Baseline|Change in triglycerides in mmol/L from baseline (week 0) to end of treatment (week 44) as ratio to baseline is presented and it was evaluated based on the data from in-trial observation period. For end of treatment visit, data collected up to week 49 during the in-trial observation period is included in this Outcome Measure. In-trial period: The time period where the participants were assessed in the study. The in-trial period begins on the date of randomization (week 0) and ends at the end of study visit (week 49).|Baseline (week 0), end of treatment (week 44)|FAS included all randomized participants. Here, Overall number of participants analysed (N) = participants with available data for this outcome measure.|||Ratio of triglycerides||Geometric Coefficient of Variation|GEOMETRIC_MEAN
258426313|NCT04998136|SECONDARY|Change in High-sensitivity C-reactive Protein (hsCRP) (mg/L) - Ratio to Baseline|Change in hsCRP in milligram per liter (mg/L) from baseline (week 0) to end of treatment (week 44) as ratio to baseline is presented and it was evaluated based on the data from in-trial observation period. For end of treatment visit, data collected up to week 49 during the in-trial observation period is included in this Outcome Measure. In-trial period: The time period where the participants were assessed in the study. The in-trial period begins on the date of randomization (week 0) and ends at the end of study visit (week 49).|Baseline (week 0), end of treatment (week 44)|FAS included all randomized participants. Here, Overall number of participants analysed (N) = participants with available data for this outcome measure.|||Ratio of hsCRP||Geometric Coefficient of Variation|GEOMETRIC_MEAN
258426314|NCT04998136|SECONDARY|Change in HbA1c (%)|Change in glycosylated haemoglobin (HbA1c) in percentage from baseline (week 0) to end of treatment (week 44) is presented and it was evaluated based on the data from in-trial observation period. For end of treatment visit, data collected up to week 49 during the in-trial observation period is included in this Outcome Measure. In-trial period: The time period where the participants were assessed in the study. The in-trial period begins on the date of randomization (week 0) and ends at the end of study visit (week 49).|Baseline (week 0), end of treatment (week 44)|FAS included all randomized participants. Here, Overall number of participants analysed (N) = participants with available data for this outcome measure.|||Percentage of HbA1c||Standard Deviation|MEAN
258426315|NCT04998136|SECONDARY|Change in HbA1c (mmol/Mol)|Change in glycosylated heamoglobin (HbA1c) in millimoles per mole (mmol/mol) from baseline (week 0) to end of treatment (week 44) is presented and it was evaluated based on the data from in-trial observation period. For end of treatment visit, data collected up to week 49 during the in-trial observation period is included in this Outcome Measure. In-trial period: The time period where the participants were assessed in the study. The in-trial period begins on the date of randomization (week 0) and ends at the end of study visit (week 49).|Baseline (week 0), end of treatment (week 44)|FAS included all randomized participants. Here, Overall number of participants analysed (N) = participants with available data for this outcome measure.|||Mmol/mol||Standard Deviation|MEAN
