result-change notices in docs/result_changes.json: 54; by countersignature state {'SEEN_AND_SIGNED': 8, 'BATCH_SEEN_AND_SIGNED': 5, 'OPEN': 41}
colchicine-postop-af | Treatment discontinuation | SEEN_AND_SIGNED | k 1 -> None | left ['PMID 32720823'] | entered []
colchicine-recurrent-pericarditis | Adverse events (gastrointestinal) | SEEN_AND_SIGNED | k 1 -> None | left ['PMID 24694983'] | entered []
dpp4-mace-t2d | Hospitalization for heart failure | BATCH_SEEN_AND_SIGNED | k 2 -> 1 | left ['PMID 23992601'] | entered []
esketamine-trd-madrs | Observed-case Day-28 raw change-score MADRS MD | SEEN_AND_SIGNED | k 4 -> 3 | left ['NCT02417064'] | entered []
noac-vs-warfarin-af-stroke | Major bleeding | SEEN_AND_SIGNED | k 4 -> None | left ['PMID 19717844', 'PMID 21830957'] | entered []
omega3-cardiovascular-events | Major vascular events / MACE | BATCH_SEEN_AND_SIGNED | k 6 -> 5 | left ['PMID 22686415'] | entered []
pcsk9-mace | Major adverse cardiovascular events | BATCH_SEEN_AND_SIGNED | k 3 -> 2 | left ['PMID 41211925'] | entered []
pcsk9-mace | Injection-site reactions | SEEN_AND_SIGNED | k 1 -> None | left ['PMID 25773378'] | entered []
probiotics-aad-prevention | Antibiotic-associated diarrhoea | BATCH_SEEN_AND_SIGNED | k 16 -> 11 | left ['PMID 24456384', 'PMID 26973849', 'PMID 34541475', 'PMID 39529939', 'PMID 40488914'] | entered []
probiotics-aad-prevention | Any adverse events | SEEN_AND_SIGNED | k 3 -> 2 | left ['PMID 26973849'] | entered []
probiotics-aad-prevention | Serious adverse events | SEEN_AND_SIGNED | k 2 -> 1 | left ['PMID 39529939'] | entered []
tocilizumab-covid19-mortality | Serious adverse events | BATCH_SEEN_AND_SIGNED | k 3 -> 2 | left ['PMID 33085857'] | entered []
tranexamic-acid-pph | Thromboembolic events | SEEN_AND_SIGNED | k 1 -> None | left ['PMID 28456509'] | entered []
balanced-crystalloids-vs-saline-mortality | Mortality | OPEN | k 2 -> None | left ['PMID 34375394', 'PMID 35041780'] | entered []
colchicine-postop-af | Postoperative atrial fibrillation | OPEN | k 3 -> 2 | left ['PMID 42132185'] | entered []
colchicine-secondary-cv-prevention | Trial-defined major coronary/cardiovascular composite | OPEN | k 3 -> 2 | left ['PMID 32865380'] | entered []
colchicine-secondary-cv-prevention | Gastrointestinal adverse effects | OPEN | k 1 -> None | left ['PMID 34876021'] | entered []
colchicine-secondary-cv-prevention | Non-cardiovascular death | OPEN | k 1 -> None | left ['PMID 32865380'] | entered []
corticosteroids-cap-mortality | Hyperglycaemia | OPEN | k 4 -> 2 | left ['PMID 21636122', 'PMID 25608756'] | entered []
corticosteroids-covid19-mortality | 28-day all-cause mortality | OPEN | k 1 -> None | left ['PMID 32678530'] | entered []
corticosteroids-covid19-mortality | Serious adverse events | OPEN | k 1 -> None | left ['PMID 34138478'] | entered []
dapagliflozin-hfpef-hosp | Adverse events | OPEN | k 1 -> None | left ['PMID 34711976'] | entered []
denosumab-vertebral-fracture | New vertebral fracture | OPEN | k 1 -> None | left ['PMID 19671655'] | entered []
denosumab-vertebral-fracture | Nonvertebral fracture | OPEN | k 1 -> None | left ['PMID 19671655'] | entered []
denosumab-vertebral-fracture | Hip fracture | OPEN | k 1 -> None | left ['PMID 19671655'] | entered []
doac-vte-recurrence | Symptomatic recurrent VTE (DVT / nonfatal PE / fatal PE or VTE-related death) | OPEN | k 6 -> None | left ['PMID 19966341', 'PMID 21128814', 'PMID 22449293', 'PMID 23808982', 'PMID 23991658', 'PMID 24344086'] | entered []
doac-vte-recurrence | Major bleeding | OPEN | k 3 -> None | left ['PMID 19966341', 'PMID 22449293', 'PMID 24344086'] | entered []
doac-vte-recurrence | Major or clinically relevant nonmajor bleeding | OPEN | k 2 -> None | left ['PMID 22449293', 'PMID 23991658'] | entered []
doac-vte-recurrence | Any bleeding | OPEN | k 2 -> None | left ['PMID 19966341', 'PMID 24344086'] | entered []
dpp4-mace-t2d | 3-point major adverse cardiovascular events | OPEN | k 3 -> 1 | left ['PMID 28893244', 'PMID 30418475'] | entered []
dpp4-mace-t2d | Adverse events | OPEN | k 1 -> None | left ['PMID 30418475'] | entered []
dpp4-mace-t2d | Hypoglycemia | OPEN | k 1 -> None | left ['PMID 30418475'] | entered []
esketamine-trd-madrs | Observed-case Day-28 raw change-score MADRS MD | OPEN | k 3 -> 1 | left ['NCT02422186', 'PMID 37025256'] | entered []
esketamine-trd-madrs | Adverse events | OPEN | k 1 -> None | left ['PMID 37025256'] | entered []
glp1-ra-mace-t2d | 3-point major adverse cardiovascular events | OPEN | k 8 -> 7 | left ['PMID 30291013'] | entered []
iv-iron-hfref-hosp | Heart-failure hospitalization | OPEN | k 2 -> 1 | left ['PMID 40159390'] | entered []
metformin-pcos-ovulation | Ovulation with metformin added to clomifene | OPEN | k 3 -> None | left ['PMID 11172832', 'PMID 16769748', 'PMID 19522426'] | entered []
noac-vs-warfarin-af-stroke | Stroke or systemic embolism | OPEN | k 4 -> None | left ['PMID 19717844', 'PMID 21830957', 'PMID 21870978', 'PMID 24251359'] | entered []
omega3-cardiovascular-events | Major vascular events / MACE | OPEN | k 5 -> 1 | left ['PMID 20929341', 'PMID 21115589', 'PMID 30415628', 'PMID 33190147'] | entered []
omega3-cardiovascular-events | Atrial fibrillation | OPEN | k None -> 1 | left [] | entered []
pcsk9-mace | Major adverse cardiovascular events | OPEN | k 2 -> 1 | left ['PMID 28304224'] | entered []
probiotics-aad-prevention | Antibiotic-associated diarrhoea | OPEN | k 11 -> None | left ['PMID 11560298', 'PMID 15740542', 'PMID 18026577', 'PMID 18410562', 'PMID 18701826', 'PMID 21165295', 'PMID 23932219', 'PMID 24772726', 'PMID 32035998', 'PMID 35727573', 'PMID 7872284'] | entered []
probiotics-aad-prevention | Any adverse events | OPEN | k 2 -> None | left ['PMID 39529939', 'PMID 41699149'] | entered []
probiotics-aad-prevention | Serious adverse events | OPEN | k 1 -> None | left ['PMID 34541475'] | entered []
sacubitril-valsartan-hfref | Composite cardiovascular death or heart-failure hospitalization | OPEN | k 2 -> None | left ['NCT02468232', 'PMID 25176015'] | entered []
semaglutide-obesity-mace | 3-point major adverse cardiovascular events | OPEN | k 1 -> None | left ['PMID 37952131'] | entered []
semaglutide-obesity-mace | Adverse events leading to permanent discontinuation | OPEN | k 1 -> None | left ['PMID 37952131'] | entered []
sglt2-primary-prevention-hf | Hospitalization for heart failure | OPEN | k 4 -> 1 | left ['PMID 26378978', 'PMID 28605608', 'PMID 30415602'] | entered []
sglt2-primary-prevention-hf | Lower-limb amputation | OPEN | k 1 -> None | left ['PMID 28605608'] | entered []
spironolactone-hfref-mortality | All-cause mortality | OPEN | k 3 -> 1 | left ['PMID 10471456', 'PMID 21073363'] | entered []
statins-primary-prevention-elderly | Major vascular events | OPEN | k 2 -> 1 | left ['PMID 20404379'] | entered []
ticagrelor-vs-clopidogrel-acs | Major adverse cardiovascular events: cardiovascular death, myocardial infarction, or stroke | OPEN | k 2 -> None | left ['PMID 19717846', 'PMID 26376600'] | entered []
ticagrelor-vs-clopidogrel-acs | Major bleeding | OPEN | k 2 -> None | left ['PMID 19717846', 'PMID 26376600'] | entered []
tocilizumab-covid19-mortality | 28-day all-cause mortality | OPEN | k 1 -> None | left ['PMID 33933206'] | entered []
