SEARCH V2 RECALL -- 21 MEASUREMENT TOPICS, run r2 beside run 1 (same benchmark, same scorer)

## colchicine-postop-af - run1 found 0 of 7; run r2 found 6 of 7; reverse_not_in_benchmark=534
- FOUND Colchicine reduces postoperative atrial fibrillation: results of the Colchicine for the Prevention of the Postpericardiotomy Syndrome (COPPS) atrial fibrillation substudy. | pmid:22090167 | origin=pooled_or_declared_absent | note=eligible declared-absent primary-outcome trial with PMID | routes=backward citation (PubMed elink); comparator reference list (PubMed elink); concept query Europe PMC; concept query PubMed | NEW in this run
- FOUND Colchicine for prevention of postpericardiotomy syndrome and postoperative atrial fibrillation: the COPPS-2 randomized clinical trial. | pmid:25172965 | origin=pooled_or_declared_absent | note=pooled primary trial | routes=CT.gov cross-link; backward citation (PubMed elink); comparator reference list (PubMed elink); concept query Europe PMC; concept query PubMed | NEW in this run
- FOUND Effect of ColchiciNe on the InciDence of Atrial Fibrillation in Open Heart Surgery Patients: END-AF Trial. | pmid:27502857 | origin=pooled_or_declared_absent | note=pooled primary trial | routes=backward citation (PubMed elink); comparator reference list (PubMed elink); concept query Europe PMC; concept query PubMed; forward citation | NEW in this run
- FOUND Effect of Low-dose ColchiciNe on the InciDence of Atrial Fibrillation in Open Heart Surgery Patients: END-AF Low Dose Trial. | pmid:32720823 | origin=pooled_or_declared_absent | note=pooled primary trial | routes=CT.gov cross-link; backward citation (PubMed elink); comparator reference list (PubMed elink); concept query Europe PMC; concept query PubMed; forward citation | NEW in this run
- FOUND Colchicine in Cardiac Surgery: The COCS Randomized Clinical Trial. | pmid:36286314 | origin=pooled_or_declared_absent | note=eligible declared-absent primary-outcome trial with PMID | routes=CT.gov cross-link; concept query Europe PMC; concept query PubMed; forward citation | NEW in this run
- FOUND Short-Term, Weight-Adjusted Colchicine to Prevent Post-CABG Arrhythmias: A Randomized, Double-Blind, Controlled Trial. | pmid:42132185 | origin=pooled_or_declared_absent | note=pooled primary trial | routes=concept query Europe PMC; concept query PubMed; forward citation | NEW in this run
- MISSED five audit-named trials | title:five audit named trials | origin=known_eligible_missing | note=mechanism=concept-query; status=audit_identified; k=3->8 per audit; names pending external verification | NAME_ONLY: can only be scored by normalized title match | missed in both runs

## colchicine-secondary-cv-prevention - run1 found 20 of 20; run r2 found 20 of 20; reverse_not_in_benchmark=3706
- FOUND Ineffectiveness of colchicine for the prevention of restenosis after coronary angioplasty. | pmid:1593057 | origin=pooled_or_declared_absent | note=eligible declared-absent primary-outcome trial with PMID | routes=comparator reference list (PubMed elink); concept query Europe PMC; concept query PubMed | also in run1
- FOUND Usefulness of colchicine to reduce perioperative myocardial damage in patients who underwent on-pump coronary artery bypass grafting. | pmid:25784519 | origin=pooled_or_declared_absent | note=eligible declared-absent primary-outcome trial with PMID | routes=CT.gov cross-link; comparator reference list (PubMed elink); concept query Europe PMC; concept query PubMed | also in run1
