families screened: 2393 across 24 reviews; control mismatches: 0

fixAB: 85 families change state
  other     balanced-crystalloids-vs-saline-mortality NCT01270854: ('UNKNOWN', 'INTERVENTION_CONTRAST_NOT_PROVEN') -> ('ELIGIBLE', None)
  DEPARTING balanced-crystalloids-vs-saline-mortality NCT02875873: ('UNKNOWN', 'INTERVENTION_CONTRAST_NOT_PROVEN') -> ('ELIGIBLE', None)
  DEPARTING doac-vte-recurrence NCT00439777: ('UNKNOWN', 'INTERVENTION_CONTRAST_NOT_PROVEN') -> ('ELIGIBLE', None)
  DEPARTING doac-vte-recurrence NCT00986154: ('UNKNOWN', 'INTERVENTION_CONTRAST_NOT_PROVEN') -> ('ELIGIBLE', None)
  other     dpp4-mace-t2d NCT00968708: ('UNKNOWN', 'ENTRY_POPULATION_NOT_ESTABLISHED') -> ('ELIGIBLE', None)
  other     dpp4-mace-t2d NCT01243424: ('UNKNOWN', 'ENTRY_POPULATION_NOT_ESTABLISHED') -> ('UNKNOWN', 'INTERVENTION_CONTRAST_NOT_PROVEN')
  DEPARTING dpp4-mace-t2d NCT01897532: ('UNKNOWN', 'ENTRY_POPULATION_NOT_ESTABLISHED') -> ('ELIGIBLE', None)
  other     dpp4-mace-t2d NCT02180334: ('UNKNOWN', 'ENTRY_POPULATION_NOT_ESTABLISHED') -> ('UNKNOWN', 'INTERVENTION_CONTRAST_NOT_PROVEN')
  other     dpp4-mace-t2d NCT02207374: ('UNKNOWN', 'ENTRY_POPULATION_NOT_ESTABLISHED') -> ('UNKNOWN', 'INTERVENTION_CONTRAST_NOT_PROVEN')
  other     dpp4-mace-t2d NCT02470039: ('UNKNOWN', 'ENTRY_POPULATION_NOT_ESTABLISHED') -> ('UNKNOWN', 'INTERVENTION_CONTRAST_NOT_PROVEN')
  other     dpp4-mace-t2d NCT02475499: ('UNKNOWN', 'ENTRY_POPULATION_NOT_ESTABLISHED') -> ('UNKNOWN', 'INTERVENTION_CONTRAST_NOT_PROVEN')
  other     dpp4-mace-t2d NCT03486964: ('UNKNOWN', 'ENTRY_POPULATION_NOT_ESTABLISHED') -> ('UNKNOWN', 'INTERVENTION_CONTRAST_NOT_PROVEN')
  other     dpp4-mace-t2d NCT03951805: ('UNKNOWN', 'ENTRY_POPULATION_NOT_ESTABLISHED') -> ('UNKNOWN', 'INTERVENTION_CONTRAST_NOT_PROVEN')
  other     dpp4-mace-t2d NCT04017221: ('UNKNOWN', 'ENTRY_POPULATION_NOT_ESTABLISHED') -> ('UNKNOWN', 'INTERVENTION_CONTRAST_NOT_PROVEN')
  other     dpp4-mace-t2d NCT04521049: ('UNKNOWN', 'ENTRY_POPULATION_NOT_ESTABLISHED') -> ('UNKNOWN', 'INTERVENTION_CONTRAST_NOT_PROVEN')
  other     dpp4-mace-t2d NCT04626323: ('UNKNOWN', 'ENTRY_POPULATION_NOT_ESTABLISHED') -> ('UNKNOWN', 'INTERVENTION_CONTRAST_NOT_PROVEN')
  other     iv-iron-hfref-hosp NCT01394562: ('UNKNOWN', 'INTERVENTION_CONTRAST_NOT_PROVEN') -> ('UNKNOWN', 'PLACEBO_CONTROL_NOT_PROVEN')
  DEPARTING noac-vs-warfarin-af-stroke NCT00262600: ('UNKNOWN', 'INTERVENTION_CONTRAST_NOT_PROVEN') -> ('ELIGIBLE', None)
  DEPARTING noac-vs-warfarin-af-stroke NCT00403767: ('UNKNOWN', 'INTERVENTION_CONTRAST_NOT_PROVEN') -> ('ELIGIBLE', None)
  DEPARTING noac-vs-warfarin-af-stroke NCT00412984: ('UNKNOWN', 'INTERVENTION_CONTRAST_NOT_PROVEN') -> ('ELIGIBLE', None)
  other     noac-vs-warfarin-af-stroke NCT00504556: ('UNKNOWN', 'INTERVENTION_CONTRAST_NOT_PROVEN') -> ('ELIGIBLE', None)
  DEPARTING noac-vs-warfarin-af-stroke NCT00781391: ('UNKNOWN', 'INTERVENTION_CONTRAST_NOT_PROVEN') -> ('ELIGIBLE', None)
  other     noac-vs-warfarin-af-stroke NCT00806624: ('UNKNOWN', 'INTERVENTION_CONTRAST_NOT_PROVEN') -> ('ELIGIBLE', None)
