Hazard consumer sweep, before lane AD wiring
base_ref: a177740544be8044231e1c1b1e5ad1460d69f70e
rows: 491
SUMMARY: 32 of 32 topics with at least one UNWIRED hazard severity BLOCKS_CLAIM or QUALIFIES_CLAIM: balanced-crystalloids-vs-saline-mortality, colchicine-postop-af, colchicine-recurrent-pericarditis, colchicine-secondary-cv-prevention, corticosteroids-cap-mortality, corticosteroids-covid19-mortality, dapagliflozin-hfpef-hosp, denosumab-vertebral-fracture, doac-vte-recurrence, dpp4-mace-t2d, empagliflozin-hfpef-hosp, esketamine-trd-madrs, finerenone-ckd-t2d-renal, glp1-ra-mace-t2d, iv-iron-hfref-hosp, melatonin-primary-insomnia-sol, metformin-pcos-ovulation, noac-vs-warfarin-af-stroke, omega3-cardiovascular-events, pcsk9-mace, probiotics-aad-prevention, sacubitril-valsartan-hfref, semaglutide-obesity-mace, semaglutide-obesity-weight, sglt2-ckd-progression, sglt2-hfref-hosp-cvdeath, sglt2-primary-prevention-hf, spironolactone-hfref-mortality, statins-primary-prevention-elderly, ticagrelor-vs-clopidogrel-acs, tocilizumab-covid19-mortality, tranexamic-acid-pph
UNWIRED hazard pairs: (DECLARED_ABSENT_SECTION,DECLARED_ABSENT), (DECLARED_ABSENT_SECTION,UNKNOWN), (DECLARED_STRANDS,REFUSED_ON_EVIDENCE), (DEFINITION_AUDIT,PARTIAL), (FUNDING_COI,PARTIAL), (FUNDING_COI,RECORDED), (GRADE_CERTAINTY,NOT_ASSESSED), (GRADE_CERTAINTY,PROVISIONAL), (REPRODUCTION_RETRACTION,RETRACTED), (RETRIEVAL_CLASS,NOT_RUN), (RETRIEVAL_CLASS,UNRECORDED), (ROB_SENSITIVITY,PARTIAL), (SEARCH_ENUMERATION_ONLY,NOT_RUN), (SEARCH_PROVENANCE,RETRACTED)

slug | limitation_id | kind | severity | evidence_state | consumer_gate | gate_verdict_at_build | status
balanced-crystalloids-vs-saline-mortality | topic:balanced-crystalloids-vs-saline-mortality:overview:stale-topic | STALE_TOPIC | BLOCKS_CLAIM | STALE | invalidation.assess | STALE: never_considered, eligible_declared_absent | WIRED
balanced-crystalloids-vs-saline-mortality | topic:balanced-crystalloids-vs-saline-mortality:overview:retrieval-class | RETRIEVAL_CLASS | QUALIFIES_CLAIM | UNRECORDED | null | null | UNWIRED
balanced-crystalloids-vs-saline-mortality | topic:balanced-crystalloids-vs-saline-mortality:overview:auditability-scope | AUDITABILITY_SCOPE | NOTE | RECORDED | null | null | UNWIRED
balanced-crystalloids-vs-saline-mortality | topic:balanced-crystalloids-vs-saline-mortality:search:retrieval-snapshot | RETRIEVAL_SNAPSHOT | NOTE | UNRECORDED | null | null | UNWIRED
balanced-crystalloids-vs-saline-mortality | topic:balanced-crystalloids-vs-saline-mortality:search:retrieval-class | RETRIEVAL_CLASS | QUALIFIES_CLAIM | UNRECORDED | null | null | UNWIRED
balanced-crystalloids-vs-saline-mortality | topic:balanced-crystalloids-vs-saline-mortality:search:search-provenance | SEARCH_PROVENANCE | BLOCKS_CLAIM | RETRACTED | null | null | UNWIRED
balanced-crystalloids-vs-saline-mortality | topic:balanced-crystalloids-vs-saline-mortality:outcomes:0:mortality:design-refusal | UNIT_OF_ANALYSIS | QUALIFIES_CLAIM | REFUSED_ON_EVIDENCE | design_key.decision_for_trial | REFUSE: typed design action REFUSE: SMART is cluster-crossover; cluster design + SE not design-adjusted; naive precision direction: OPTIMISTIC; REFUSE: typed design action REFUSE: SALT is cluster-crossover; cluster design + SE not design-adjusted; naive precision direction: OPTIMISTIC; REFUSE: typed design action REFUSE: SPLIT is cluster-crossover; cluster design + SE not design-adjusted; naive precision direction: OPTIMISTIC; REFUSE: typed design action REFUSE: SPLIT is cluster-crossover; cluster design + SE not design-adjusted; naive precision direction: OPTIMISTIC; REFUSE: typed design action REFUSE: SPLIT is cluster-crossover; cluster design + SE not design-adjusted; naive precision direction: OPTIMISTIC | WIRED
balanced-crystalloids-vs-saline-mortality | topic:balanced-crystalloids-vs-saline-mortality:harms:0:acute-kidney-injury:result-absent | DECLARED_ABSENT_SECTION | BLOCKS_CLAIM | DECLARED_ABSENT | null | null | UNWIRED
balanced-crystalloids-vs-saline-mortality | topic:balanced-crystalloids-vs-saline-mortality:harms:1:new-renal-replacement-therapy:result-absent | DECLARED_ABSENT_SECTION | BLOCKS_CLAIM | DECLARED_ABSENT | null | null | UNWIRED
balanced-crystalloids-vs-saline-mortality | topic:balanced-crystalloids-vs-saline-mortality:riskofbias:rob-spancheck | ROB_SPANCHECK | NOTE | RECORDED | null | null | UNWIRED
