Hazard consumer sweep, before lane AD wiring
base_ref: a177740544be8044231e1c1b1e5ad1460d69f70e
rows: 491
SUMMARY: 32 of 32 topics with at least one UNWIRED hazard severity BLOCKS_CLAIM or QUALIFIES_CLAIM: balanced-crystalloids-vs-saline-mortality, colchicine-postop-af, colchicine-recurrent-pericarditis, colchicine-secondary-cv-prevention, corticosteroids-cap-mortality, corticosteroids-covid19-mortality, dapagliflozin-hfpef-hosp, denosumab-vertebral-fracture, doac-vte-recurrence, dpp4-mace-t2d, empagliflozin-hfpef-hosp, esketamine-trd-madrs, finerenone-ckd-t2d-renal, glp1-ra-mace-t2d, iv-iron-hfref-hosp, melatonin-primary-insomnia-sol, metformin-pcos-ovulation, noac-vs-warfarin-af-stroke, omega3-cardiovascular-events, pcsk9-mace, probiotics-aad-prevention, sacubitril-valsartan-hfref, semaglutide-obesity-mace, semaglutide-obesity-weight, sglt2-ckd-progression, sglt2-hfref-hosp-cvdeath, sglt2-primary-prevention-hf, spironolactone-hfref-mortality, statins-primary-prevention-elderly, ticagrelor-vs-clopidogrel-acs, tocilizumab-covid19-mortality, tranexamic-acid-pph
UNWIRED hazard pairs: (DECLARED_ABSENT_SECTION,DECLARED_ABSENT), (DECLARED_ABSENT_SECTION,UNKNOWN), (DECLARED_STRANDS,REFUSED_ON_EVIDENCE), (DEFINITION_AUDIT,PARTIAL), (FUNDING_COI,PARTIAL), (FUNDING_COI,RECORDED), (GRADE_CERTAINTY,NOT_ASSESSED), (GRADE_CERTAINTY,PROVISIONAL), (REPRODUCTION_RETRACTION,RETRACTED), (RETRIEVAL_CLASS,NOT_RUN), (RETRIEVAL_CLASS,UNRECORDED), (ROB_SENSITIVITY,PARTIAL), (SEARCH_ENUMERATION_ONLY,NOT_RUN), (SEARCH_PROVENANCE,RETRACTED)

slug | limitation_id | kind | severity | evidence_state | consumer_gate | gate_verdict_at_build | status
balanced-crystalloids-vs-saline-mortality | topic:balanced-crystalloids-vs-saline-mortality:riskofbias:unit-of-analysis | UNIT_OF_ANALYSIS | QUALIFIES_CLAIM | NOT_ASSESSED | design_key.decision_for_trial | ALLOW_WITH_LABEL: design-key:factorial-marginal - factorial marginal contrast labelled, not refused | WIRED
balanced-crystalloids-vs-saline-mortality | topic:balanced-crystalloids-vs-saline-mortality:riskofbias:randomised-contrast | RANDOMISED_CONTRAST | QUALIFIES_CLAIM | PARTIAL | compat.outcome_key | Mortality: verified 2/2 | WIRED
balanced-crystalloids-vs-saline-mortality | topic:balanced-crystalloids-vs-saline-mortality:riskofbias:funding-coi | FUNDING_COI | QUALIFIES_CLAIM | PARTIAL | null | null | UNWIRED
balanced-crystalloids-vs-saline-mortality | topic:balanced-crystalloids-vs-saline-mortality:riskofbias:rob-sensitivity | ROB_SENSITIVITY | QUALIFIES_CLAIM | PARTIAL | null | null | UNWIRED
balanced-crystalloids-vs-saline-mortality | topic:balanced-crystalloids-vs-saline-mortality:riskofbias:grade-certainty | GRADE_CERTAINTY | QUALIFIES_CLAIM | PROVISIONAL | null | null | UNWIRED
balanced-crystalloids-vs-saline-mortality | topic:balanced-crystalloids-vs-saline-mortality:manuscript:generated-object-banner | AUDITABILITY_SCOPE | NOTE | RECORDED | null | null | UNWIRED
balanced-crystalloids-vs-saline-mortality | topic:balanced-crystalloids-vs-saline-mortality:reproduction:round-2-retraction | REPRODUCTION_RETRACTION | BLOCKS_CLAIM | RETRACTED | null | null | UNWIRED
colchicine-postop-af | topic:colchicine-postop-af:overview:stale-topic | STALE_TOPIC | BLOCKS_CLAIM | STALE | invalidation.assess | STALE: known_eligible_missing, eligible_declared_absent | WIRED
colchicine-postop-af | topic:colchicine-postop-af:overview:retrieval-class | RETRIEVAL_CLASS | QUALIFIES_CLAIM | UNRECORDED | null | null | UNWIRED
colchicine-postop-af | topic:colchicine-postop-af:overview:auditability-scope | AUDITABILITY_SCOPE | NOTE | RECORDED | null | null | UNWIRED
colchicine-postop-af | topic:colchicine-postop-af:search:retrieval-snapshot | RETRIEVAL_SNAPSHOT | NOTE | UNRECORDED | null | null | UNWIRED
colchicine-postop-af | topic:colchicine-postop-af:search:retrieval-class | RETRIEVAL_CLASS | QUALIFIES_CLAIM | UNRECORDED | null | null | UNWIRED
colchicine-postop-af | topic:colchicine-postop-af:search:search-provenance | SEARCH_PROVENANCE | BLOCKS_CLAIM | RETRACTED | null | null | UNWIRED
colchicine-postop-af | topic:colchicine-postop-af:outcomes:definition-audit | DEFINITION_AUDIT | QUALIFIES_CLAIM | PARTIAL | null | null | UNWIRED
colchicine-postop-af | topic:colchicine-postop-af:harms:1:treatment-discontinuation:result-absent | DECLARED_ABSENT_SECTION | BLOCKS_CLAIM | DECLARED_ABSENT | null | null | UNWIRED
colchicine-postop-af | topic:colchicine-postop-af:riskofbias:rob-spancheck | ROB_SPANCHECK | NOTE | RECORDED | null | null | UNWIRED
colchicine-postop-af | topic:colchicine-postop-af:riskofbias:randomised-contrast | RANDOMISED_CONTRAST | QUALIFIES_CLAIM | PARTIAL | compat.outcome_key | Postoperative atrial fibrillation: verified 2/4; Gastrointestinal adverse effects: verified 0/1 | WIRED
colchicine-postop-af | topic:colchicine-postop-af:riskofbias:funding-coi | FUNDING_COI | QUALIFIES_CLAIM | PARTIAL | null | null | UNWIRED
colchicine-postop-af | topic:colchicine-postop-af:riskofbias:rob-sensitivity | ROB_SENSITIVITY | QUALIFIES_CLAIM | PARTIAL | null | null | UNWIRED
colchicine-postop-af | topic:colchicine-postop-af:riskofbias:grade-certainty | GRADE_CERTAINTY | QUALIFIES_CLAIM | PROVISIONAL | null | null | UNWIRED
colchicine-postop-af | topic:colchicine-postop-af:manuscript:generated-object-banner | AUDITABILITY_SCOPE | NOTE | RECORDED | null | null | UNWIRED
colchicine-postop-af | topic:colchicine-postop-af:reproduction:round-2-retraction | REPRODUCTION_RETRACTION | BLOCKS_CLAIM | RETRACTED | null | null | UNWIRED
colchicine-recurrent-pericarditis | topic:colchicine-recurrent-pericarditis:overview:stale-topic | STALE_TOPIC | BLOCKS_CLAIM | STALE | invalidation.assess | STALE: eligible_declared_absent | WIRED
colchicine-recurrent-pericarditis | topic:colchicine-recurrent-pericarditis:overview:retrieval-class | RETRIEVAL_CLASS | QUALIFIES_CLAIM | UNRECORDED | null | null | UNWIRED
colchicine-recurrent-pericarditis | topic:colchicine-recurrent-pericarditis:overview:auditability-scope | AUDITABILITY_SCOPE | NOTE | RECORDED | null | null | UNWIRED
colchicine-recurrent-pericarditis | topic:colchicine-recurrent-pericarditis:search:retrieval-snapshot | RETRIEVAL_SNAPSHOT | NOTE | UNRECORDED | null | null | UNWIRED
colchicine-recurrent-pericarditis | topic:colchicine-recurrent-pericarditis:search:retrieval-class | RETRIEVAL_CLASS | QUALIFIES_CLAIM | UNRECORDED | null | null | UNWIRED
colchicine-recurrent-pericarditis | topic:colchicine-recurrent-pericarditis:search:search-provenance | SEARCH_PROVENANCE | BLOCKS_CLAIM | RETRACTED | null | null | UNWIRED
colchicine-recurrent-pericarditis | topic:colchicine-recurrent-pericarditis:outcomes:definition-audit | DEFINITION_AUDIT | QUALIFIES_CLAIM | PARTIAL | null | null | UNWIRED
colchicine-recurrent-pericarditis | topic:colchicine-recurrent-pericarditis:outcomes:2:disease-related-hospitalisation:result-absent | DECLARED_ABSENT_SECTION | BLOCKS_CLAIM | DECLARED_ABSENT | null | null | UNWIRED
colchicine-recurrent-pericarditis | topic:colchicine-recurrent-pericarditis:harms:0:adverse-events-gastrointestinal:result-absent | DECLARED_ABSENT_SECTION | BLOCKS_CLAIM | DECLARED_ABSENT | null | null | UNWIRED
colchicine-recurrent-pericarditis | topic:colchicine-recurrent-pericarditis:harms:1:treatment-discontinuation:result-absent | DECLARED_ABSENT_SECTION | BLOCKS_CLAIM | DECLARED_ABSENT | null | null | UNWIRED
colchicine-recurrent-pericarditis | topic:colchicine-recurrent-pericarditis:riskofbias:rob-spancheck | ROB_SPANCHECK | NOTE | RECORDED | null | null | UNWIRED
colchicine-recurrent-pericarditis | topic:colchicine-recurrent-pericarditis:riskofbias:randomised-contrast | RANDOMISED_CONTRAST | QUALIFIES_CLAIM | RECORDED | compat.outcome_key | Recurrent pericarditis: verified 2/2; Symptom persistence at 72 hours: verified 1/1 | WIRED
colchicine-recurrent-pericarditis | topic:colchicine-recurrent-pericarditis:riskofbias:funding-coi | FUNDING_COI | QUALIFIES_CLAIM | PARTIAL | null | null | UNWIRED
colchicine-recurrent-pericarditis | topic:colchicine-recurrent-pericarditis:riskofbias:rob-sensitivity | ROB_SENSITIVITY | QUALIFIES_CLAIM | PARTIAL | null | null | UNWIRED
colchicine-recurrent-pericarditis | topic:colchicine-recurrent-pericarditis:riskofbias:grade-certainty | GRADE_CERTAINTY | QUALIFIES_CLAIM | PROVISIONAL | null | null | UNWIRED
colchicine-recurrent-pericarditis | topic:colchicine-recurrent-pericarditis:manuscript:generated-object-banner | AUDITABILITY_SCOPE | NOTE | RECORDED | null | null | UNWIRED
colchicine-recurrent-pericarditis | topic:colchicine-recurrent-pericarditis:reproduction:round-2-retraction | REPRODUCTION_RETRACTION | BLOCKS_CLAIM | RETRACTED | null | null | UNWIRED
colchicine-secondary-cv-prevention | topic:colchicine-secondary-cv-prevention:overview:stale-topic | STALE_TOPIC | BLOCKS_CLAIM | STALE | invalidation.assess | STALE: eligible_declared_absent | WIRED
colchicine-secondary-cv-prevention | topic:colchicine-secondary-cv-prevention:overview:retrieval-class | RETRIEVAL_CLASS | QUALIFIES_CLAIM | UNRECORDED | null | null | UNWIRED
colchicine-secondary-cv-prevention | topic:colchicine-secondary-cv-prevention:overview:auditability-scope | AUDITABILITY_SCOPE | NOTE | RECORDED | null | null | UNWIRED
colchicine-secondary-cv-prevention | topic:colchicine-secondary-cv-prevention:search:retrieval-snapshot | RETRIEVAL_SNAPSHOT | NOTE | UNRECORDED | null | null | UNWIRED
colchicine-secondary-cv-prevention | topic:colchicine-secondary-cv-prevention:search:retrieval-class | RETRIEVAL_CLASS | QUALIFIES_CLAIM | UNRECORDED | null | null | UNWIRED
colchicine-secondary-cv-prevention | topic:colchicine-secondary-cv-prevention:search:search-provenance | SEARCH_PROVENANCE | BLOCKS_CLAIM | RETRACTED | null | null | UNWIRED
colchicine-secondary-cv-prevention | topic:colchicine-secondary-cv-prevention:outcomes:definition-audit | DEFINITION_AUDIT | QUALIFIES_CLAIM | PARTIAL | null | null | UNWIRED
colchicine-secondary-cv-prevention | topic:colchicine-secondary-cv-prevention:riskofbias:rob-spancheck | ROB_SPANCHECK | NOTE | RECORDED | null | null | UNWIRED
colchicine-secondary-cv-prevention | topic:colchicine-secondary-cv-prevention:riskofbias:unit-of-analysis | UNIT_OF_ANALYSIS | QUALIFIES_CLAIM | NOT_ASSESSED | design_key.decision_for_trial | ALLOW_WITH_LABEL: design-key:factorial-marginal - factorial marginal contrast labelled, not refused | WIRED
colchicine-secondary-cv-prevention | topic:colchicine-secondary-cv-prevention:riskofbias:randomised-contrast | RANDOMISED_CONTRAST | QUALIFIES_CLAIM | PARTIAL | compat.outcome_key | Major adverse cardiovascular events: verified 2/3; Gastrointestinal adverse effects: verified 0/1; Non-cardiovascular death: verified 0/1 | WIRED
colchicine-secondary-cv-prevention | topic:colchicine-secondary-cv-prevention:riskofbias:funding-coi | FUNDING_COI | QUALIFIES_CLAIM | PARTIAL | null | null | UNWIRED
colchicine-secondary-cv-prevention | topic:colchicine-secondary-cv-prevention:riskofbias:rob-sensitivity | ROB_SENSITIVITY | QUALIFIES_CLAIM | PARTIAL | null | null | UNWIRED
colchicine-secondary-cv-prevention | topic:colchicine-secondary-cv-prevention:riskofbias:grade-certainty | GRADE_CERTAINTY | QUALIFIES_CLAIM | PROVISIONAL | null | null | UNWIRED
colchicine-secondary-cv-prevention | topic:colchicine-secondary-cv-prevention:manuscript:generated-object-banner | AUDITABILITY_SCOPE | NOTE | RECORDED | null | null | UNWIRED
colchicine-secondary-cv-prevention | topic:colchicine-secondary-cv-prevention:reproduction:round-2-retraction | REPRODUCTION_RETRACTION | BLOCKS_CLAIM | RETRACTED | null | null | UNWIRED
corticosteroids-cap-mortality | topic:corticosteroids-cap-mortality:overview:stale-topic | STALE_TOPIC | BLOCKS_CLAIM | STALE | invalidation.assess | STALE: known_eligible_missing, never_considered, eligible_declared_absent | WIRED
corticosteroids-cap-mortality | topic:corticosteroids-cap-mortality:overview:retrieval-class | RETRIEVAL_CLASS | QUALIFIES_CLAIM | UNRECORDED | null | null | UNWIRED
corticosteroids-cap-mortality | topic:corticosteroids-cap-mortality:overview:auditability-scope | AUDITABILITY_SCOPE | NOTE | RECORDED | null | null | UNWIRED
corticosteroids-cap-mortality | topic:corticosteroids-cap-mortality:search:retrieval-snapshot | RETRIEVAL_SNAPSHOT | NOTE | RECORDED | null | null | UNWIRED
corticosteroids-cap-mortality | topic:corticosteroids-cap-mortality:search:retrieval-class | RETRIEVAL_CLASS | QUALIFIES_CLAIM | UNRECORDED | null | null | UNWIRED
corticosteroids-cap-mortality | topic:corticosteroids-cap-mortality:search:search-provenance | SEARCH_PROVENANCE | BLOCKS_CLAIM | RETRACTED | null | null | UNWIRED
corticosteroids-cap-mortality | topic:corticosteroids-cap-mortality:outcomes:definition-audit | DEFINITION_AUDIT | QUALIFIES_CLAIM | PARTIAL | null | null | UNWIRED
corticosteroids-cap-mortality | topic:corticosteroids-cap-mortality:harms:1:gastrointestinal-bleeding:result-absent | DECLARED_ABSENT_SECTION | BLOCKS_CLAIM | DECLARED_ABSENT | null | null | UNWIRED
corticosteroids-cap-mortality | topic:corticosteroids-cap-mortality:riskofbias:rob-spancheck | ROB_SPANCHECK | NOTE | RECORDED | null | null | UNWIRED
corticosteroids-cap-mortality | topic:corticosteroids-cap-mortality:riskofbias:randomised-contrast | RANDOMISED_CONTRAST | QUALIFIES_CLAIM | PARTIAL | compat.outcome_key | All-cause mortality: verified 2/2; Hyperglycaemia: verified 1/2 | WIRED
corticosteroids-cap-mortality | topic:corticosteroids-cap-mortality:riskofbias:funding-coi | FUNDING_COI | QUALIFIES_CLAIM | PARTIAL | null | null | UNWIRED
corticosteroids-cap-mortality | topic:corticosteroids-cap-mortality:riskofbias:rob-sensitivity | ROB_SENSITIVITY | QUALIFIES_CLAIM | PARTIAL | null | null | UNWIRED
corticosteroids-cap-mortality | topic:corticosteroids-cap-mortality:riskofbias:grade-certainty | GRADE_CERTAINTY | QUALIFIES_CLAIM | PROVISIONAL | null | null | UNWIRED
corticosteroids-cap-mortality | topic:corticosteroids-cap-mortality:manuscript:generated-object-banner | AUDITABILITY_SCOPE | NOTE | RECORDED | null | null | UNWIRED
corticosteroids-cap-mortality | topic:corticosteroids-cap-mortality:reproduction:round-2-retraction | REPRODUCTION_RETRACTION | BLOCKS_CLAIM | RETRACTED | null | null | UNWIRED
corticosteroids-covid19-mortality | topic:corticosteroids-covid19-mortality:overview:stale-topic | STALE_TOPIC | BLOCKS_CLAIM | STALE | invalidation.assess | STALE: eligible_declared_absent | WIRED
corticosteroids-covid19-mortality | topic:corticosteroids-covid19-mortality:overview:retrieval-class | RETRIEVAL_CLASS | QUALIFIES_CLAIM | UNRECORDED | null | null | UNWIRED
corticosteroids-covid19-mortality | topic:corticosteroids-covid19-mortality:overview:auditability-scope | AUDITABILITY_SCOPE | NOTE | RECORDED | null | null | UNWIRED
corticosteroids-covid19-mortality | topic:corticosteroids-covid19-mortality:search:retrieval-snapshot | RETRIEVAL_SNAPSHOT | NOTE | UNRECORDED | null | null | UNWIRED
corticosteroids-covid19-mortality | topic:corticosteroids-covid19-mortality:search:retrieval-class | RETRIEVAL_CLASS | QUALIFIES_CLAIM | UNRECORDED | null | null | UNWIRED
corticosteroids-covid19-mortality | topic:corticosteroids-covid19-mortality:search:search-provenance | SEARCH_PROVENANCE | BLOCKS_CLAIM | RETRACTED | null | null | UNWIRED
corticosteroids-covid19-mortality | topic:corticosteroids-covid19-mortality:harms:0:serious-adverse-events:result-absent | DECLARED_ABSENT_SECTION | BLOCKS_CLAIM | DECLARED_ABSENT | null | null | UNWIRED
corticosteroids-covid19-mortality | topic:corticosteroids-covid19-mortality:riskofbias:rob-spancheck | ROB_SPANCHECK | NOTE | RECORDED | null | null | UNWIRED
corticosteroids-covid19-mortality | topic:corticosteroids-covid19-mortality:riskofbias:randomised-contrast | RANDOMISED_CONTRAST | QUALIFIES_CLAIM | RECORDED | compat.outcome_key | 28-day all-cause mortality: verified 1/1 | WIRED
corticosteroids-covid19-mortality | topic:corticosteroids-covid19-mortality:riskofbias:funding-coi | FUNDING_COI | QUALIFIES_CLAIM | RECORDED | null | null | UNWIRED
corticosteroids-covid19-mortality | topic:corticosteroids-covid19-mortality:riskofbias:rob-sensitivity | ROB_SENSITIVITY | QUALIFIES_CLAIM | PARTIAL | null | null | UNWIRED
corticosteroids-covid19-mortality | topic:corticosteroids-covid19-mortality:riskofbias:grade-certainty | GRADE_CERTAINTY | QUALIFIES_CLAIM | PROVISIONAL | null | null | UNWIRED
corticosteroids-covid19-mortality | topic:corticosteroids-covid19-mortality:manuscript:generated-object-banner | AUDITABILITY_SCOPE | NOTE | RECORDED | null | null | UNWIRED
corticosteroids-covid19-mortality | topic:corticosteroids-covid19-mortality:reproduction:round-2-retraction | REPRODUCTION_RETRACTION | BLOCKS_CLAIM | RETRACTED | null | null | UNWIRED
dapagliflozin-hfpef-hosp | topic:dapagliflozin-hfpef-hosp:overview:stale-topic | STALE_TOPIC | BLOCKS_CLAIM | STALE | invalidation.assess | STALE: search_not_executed, eligible_declared_absent | WIRED
dapagliflozin-hfpef-hosp | topic:dapagliflozin-hfpef-hosp:overview:retrieval-class | RETRIEVAL_CLASS | QUALIFIES_CLAIM | NOT_RUN | null | null | UNWIRED
dapagliflozin-hfpef-hosp | topic:dapagliflozin-hfpef-hosp:overview:auditability-scope | AUDITABILITY_SCOPE | NOTE | RECORDED | null | null | UNWIRED
dapagliflozin-hfpef-hosp | topic:dapagliflozin-hfpef-hosp:search:retrieval-snapshot | RETRIEVAL_SNAPSHOT | NOTE | RECORDED | null | null | UNWIRED
dapagliflozin-hfpef-hosp | topic:dapagliflozin-hfpef-hosp:search:enumeration-only | SEARCH_ENUMERATION_ONLY | BLOCKS_CLAIM | NOT_RUN | null | null | UNWIRED
dapagliflozin-hfpef-hosp | topic:dapagliflozin-hfpef-hosp:search:retrieval-class | RETRIEVAL_CLASS | QUALIFIES_CLAIM | NOT_RUN | null | null | UNWIRED
dapagliflozin-hfpef-hosp | topic:dapagliflozin-hfpef-hosp:search:search-provenance | SEARCH_PROVENANCE | BLOCKS_CLAIM | RETRACTED | null | null | UNWIRED
dapagliflozin-hfpef-hosp | topic:dapagliflozin-hfpef-hosp:harms:none | DECLARED_ABSENT_SECTION | BLOCKS_CLAIM | UNKNOWN | null | null | UNWIRED
dapagliflozin-hfpef-hosp | topic:dapagliflozin-hfpef-hosp:riskofbias:rob-spancheck | ROB_SPANCHECK | NOTE | RECORDED | null | null | UNWIRED
dapagliflozin-hfpef-hosp | topic:dapagliflozin-hfpef-hosp:riskofbias:randomised-contrast | RANDOMISED_CONTRAST | QUALIFIES_CLAIM | RECORDED | compat.outcome_key | Composite cardiovascular death or worsening heart failure: verified 1/1 | WIRED
dapagliflozin-hfpef-hosp | topic:dapagliflozin-hfpef-hosp:riskofbias:funding-coi | FUNDING_COI | QUALIFIES_CLAIM | RECORDED | null | null | UNWIRED
dapagliflozin-hfpef-hosp | topic:dapagliflozin-hfpef-hosp:riskofbias:rob-sensitivity | ROB_SENSITIVITY | QUALIFIES_CLAIM | PARTIAL | null | null | UNWIRED
dapagliflozin-hfpef-hosp | topic:dapagliflozin-hfpef-hosp:riskofbias:grade-certainty | GRADE_CERTAINTY | QUALIFIES_CLAIM | PROVISIONAL | null | null | UNWIRED
dapagliflozin-hfpef-hosp | topic:dapagliflozin-hfpef-hosp:manuscript:generated-object-banner | AUDITABILITY_SCOPE | NOTE | RECORDED | null | null | UNWIRED
dapagliflozin-hfpef-hosp | topic:dapagliflozin-hfpef-hosp:reproduction:round-2-retraction | REPRODUCTION_RETRACTION | BLOCKS_CLAIM | RETRACTED | null | null | UNWIRED
denosumab-vertebral-fracture | topic:denosumab-vertebral-fracture:overview:retrieval-class | RETRIEVAL_CLASS | QUALIFIES_CLAIM | UNRECORDED | null | null | UNWIRED
denosumab-vertebral-fracture | topic:denosumab-vertebral-fracture:overview:auditability-scope | AUDITABILITY_SCOPE | NOTE | RECORDED | null | null | UNWIRED
denosumab-vertebral-fracture | topic:denosumab-vertebral-fracture:search:retrieval-snapshot | RETRIEVAL_SNAPSHOT | NOTE | UNRECORDED | null | null | UNWIRED
denosumab-vertebral-fracture | topic:denosumab-vertebral-fracture:search:retrieval-class | RETRIEVAL_CLASS | QUALIFIES_CLAIM | UNRECORDED | null | null | UNWIRED
denosumab-vertebral-fracture | topic:denosumab-vertebral-fracture:search:search-provenance | SEARCH_PROVENANCE | BLOCKS_CLAIM | RETRACTED | null | null | UNWIRED
denosumab-vertebral-fracture | topic:denosumab-vertebral-fracture:harms:0:serious-adverse-events:result-absent | DECLARED_ABSENT_SECTION | BLOCKS_CLAIM | DECLARED_ABSENT | null | null | UNWIRED
denosumab-vertebral-fracture | topic:denosumab-vertebral-fracture:harms:1:serious-infection:result-absent | DECLARED_ABSENT_SECTION | BLOCKS_CLAIM | DECLARED_ABSENT | null | null | UNWIRED
denosumab-vertebral-fracture | topic:denosumab-vertebral-fracture:riskofbias:rob-spancheck | ROB_SPANCHECK | NOTE | RECORDED | null | null | UNWIRED
denosumab-vertebral-fracture | topic:denosumab-vertebral-fracture:riskofbias:randomised-contrast | RANDOMISED_CONTRAST | QUALIFIES_CLAIM | RECORDED | compat.outcome_key | New vertebral fracture: verified 1/1; Nonvertebral fracture: verified 1/1; Hip fracture: verified 1/1 | WIRED
denosumab-vertebral-fracture | topic:denosumab-vertebral-fracture:riskofbias:funding-coi | FUNDING_COI | QUALIFIES_CLAIM | PARTIAL | null | null | UNWIRED
denosumab-vertebral-fracture | topic:denosumab-vertebral-fracture:riskofbias:rob-sensitivity | ROB_SENSITIVITY | QUALIFIES_CLAIM | PARTIAL | null | null | UNWIRED
denosumab-vertebral-fracture | topic:denosumab-vertebral-fracture:riskofbias:grade-certainty | GRADE_CERTAINTY | QUALIFIES_CLAIM | PROVISIONAL | null | null | UNWIRED
denosumab-vertebral-fracture | topic:denosumab-vertebral-fracture:manuscript:generated-object-banner | AUDITABILITY_SCOPE | NOTE | RECORDED | null | null | UNWIRED
denosumab-vertebral-fracture | topic:denosumab-vertebral-fracture:reproduction:round-2-retraction | REPRODUCTION_RETRACTION | BLOCKS_CLAIM | RETRACTED | null | null | UNWIRED
doac-vte-recurrence | topic:doac-vte-recurrence:overview:stale-topic | STALE_TOPIC | BLOCKS_CLAIM | STALE | invalidation.assess | STALE: search_not_executed | WIRED
doac-vte-recurrence | topic:doac-vte-recurrence:overview:retrieval-class | RETRIEVAL_CLASS | QUALIFIES_CLAIM | NOT_RUN | null | null | UNWIRED
