id|nct_id|result_group_id|ctgov_group_code|time_frame|event_type|default_vocab|default_assessment|subjects_affected|subjects_at_risk|description|event_count|organ_system|adverse_event_term|frequency_threshold|vocab|assessment
182322093|NCT01986881|838902210|EG006|Overall Cardiovascular study - Up to approximately 6 years 3 Glycemic Sub-studies - Up to 18 weeks|serious|||0|55|The analysis population for all-cause mortality was all randomized participants and the analysis population for adverse events was all participants who received at least one dose of blinded study medication. The Overall Cardiovascular Study had a follow-up of approximately 6 years whereas the glycemic sub-studies had an 18-week follow-up time.|0|Renal and urinary disorders|Tubulointerstitial nephritis|5|MedDRA 22.1|SYSTEMATIC_ASSESSMENT
182322094|NCT01986881|838902211|EG007|Overall Cardiovascular study - Up to approximately 6 years 3 Glycemic Sub-studies - Up to 18 weeks|serious|||0|54|The analysis population for all-cause mortality was all randomized participants and the analysis population for adverse events was all participants who received at least one dose of blinded study medication. The Overall Cardiovascular Study had a follow-up of approximately 6 years whereas the glycemic sub-studies had an 18-week follow-up time.|0|Renal and urinary disorders|Tubulointerstitial nephritis|5|MedDRA 22.1|SYSTEMATIC_ASSESSMENT
182322095|NCT01986881|838902212|EG008|Overall Cardiovascular study - Up to approximately 6 years 3 Glycemic Sub-studies - Up to 18 weeks|serious|||0|48|The analysis population for all-cause mortality was all randomized participants and the analysis population for adverse events was all participants who received at least one dose of blinded study medication. The Overall Cardiovascular Study had a follow-up of approximately 6 years whereas the glycemic sub-studies had an 18-week follow-up time.|0|Renal and urinary disorders|Tubulointerstitial nephritis|5|MedDRA 22.1|SYSTEMATIC_ASSESSMENT
182322096|NCT01986881|838902213|EG009|Overall Cardiovascular study - Up to approximately 6 years 3 Glycemic Sub-studies - Up to 18 weeks|serious|||0|100|The analysis population for all-cause mortality was all randomized participants and the analysis population for adverse events was all participants who received at least one dose of blinded study medication. The Overall Cardiovascular Study had a follow-up of approximately 6 years whereas the glycemic sub-studies had an 18-week follow-up time.|0|Renal and urinary disorders|Tubulointerstitial nephritis|5|MedDRA 22.1|SYSTEMATIC_ASSESSMENT
182322097|NCT01986881|838902214|EG010|Overall Cardiovascular study - Up to approximately 6 years 3 Glycemic Sub-studies - Up to 18 weeks|serious|||0|113|The analysis population for all-cause mortality was all randomized participants and the analysis population for adverse events was all participants who received at least one dose of blinded study medication. The Overall Cardiovascular Study had a follow-up of approximately 6 years whereas the glycemic sub-studies had an 18-week follow-up time.|0|Renal and urinary disorders|Tubulointerstitial nephritis|5|MedDRA 22.1|SYSTEMATIC_ASSESSMENT
182322098|NCT01986881|838902215|EG011|Overall Cardiovascular study - Up to approximately 6 years 3 Glycemic Sub-studies - Up to 18 weeks|serious|||0|117|The analysis population for all-cause mortality was all randomized participants and the analysis population for adverse events was all participants who received at least one dose of blinded study medication. The Overall Cardiovascular Study had a follow-up of approximately 6 years whereas the glycemic sub-studies had an 18-week follow-up time.|0|Renal and urinary disorders|Tubulointerstitial nephritis|5|MedDRA 22.1|SYSTEMATIC_ASSESSMENT
182322099|NCT01986881|838902204|EG000|Overall Cardiovascular study - Up to approximately 6 years 3 Glycemic Sub-studies - Up to 18 weeks|serious|||0|2746|The analysis population for all-cause mortality was all randomized participants and the analysis population for adverse events was all participants who received at least one dose of blinded study medication. The Overall Cardiovascular Study had a follow-up of approximately 6 years whereas the glycemic sub-studies had an 18-week follow-up time.|0|Renal and urinary disorders|Ureteric stenosis|5|MedDRA 22.1|SYSTEMATIC_ASSESSMENT
182322100|NCT01986881|838902205|EG001|Overall Cardiovascular study - Up to approximately 6 years 3 Glycemic Sub-studies - Up to 18 weeks|serious|||0|2747|The analysis population for all-cause mortality was all randomized participants and the analysis population for adverse events was all participants who received at least one dose of blinded study medication. The Overall Cardiovascular Study had a follow-up of approximately 6 years whereas the glycemic sub-studies had an 18-week follow-up time.|0|Renal and urinary disorders|Ureteric stenosis|5|MedDRA 22.1|SYSTEMATIC_ASSESSMENT
182322101|NCT01986881|838902206|EG002|Overall Cardiovascular study - Up to approximately 6 years 3 Glycemic Sub-studies - Up to 18 weeks|serious|||1|2745|The analysis population for all-cause mortality was all randomized participants and the analysis population for adverse events was all participants who received at least one dose of blinded study medication. The Overall Cardiovascular Study had a follow-up of approximately 6 years whereas the glycemic sub-studies had an 18-week follow-up time.|1|Renal and urinary disorders|Ureteric stenosis|5|MedDRA 22.1|SYSTEMATIC_ASSESSMENT
182322102|NCT01986881|838902207|EG003|Overall Cardiovascular study - Up to approximately 6 years 3 Glycemic Sub-studies - Up to 18 weeks|serious|||0|348|The analysis population for all-cause mortality was all randomized participants and the analysis population for adverse events was all participants who received at least one dose of blinded study medication. The Overall Cardiovascular Study had a follow-up of approximately 6 years whereas the glycemic sub-studies had an 18-week follow-up time.|0|Renal and urinary disorders|Ureteric stenosis|5|MedDRA 22.1|SYSTEMATIC_ASSESSMENT
182322103|NCT01986881|838902208|EG004|Overall Cardiovascular study - Up to approximately 6 years 3 Glycemic Sub-studies - Up to 18 weeks|serious|||0|370|The analysis population for all-cause mortality was all randomized participants and the analysis population for adverse events was all participants who received at least one dose of blinded study medication. The Overall Cardiovascular Study had a follow-up of approximately 6 years whereas the glycemic sub-studies had an 18-week follow-up time.|0|Renal and urinary disorders|Ureteric stenosis|5|MedDRA 22.1|SYSTEMATIC_ASSESSMENT
182303421|NCT01986881|838902204|EG000|Overall Cardiovascular study - Up to approximately 6 years 3 Glycemic Sub-studies - Up to 18 weeks|other|||132|2746|The analysis population for all-cause mortality was all randomized participants and the analysis population for adverse events was all participants who received at least one dose of blinded study medication. The Overall Cardiovascular Study had a follow-up of approximately 6 years whereas the glycemic sub-studies had an 18-week follow-up time.|163|Gastrointestinal disorders|Diarrhoea|5|MedDRA 22.1|SYSTEMATIC_ASSESSMENT
182303422|NCT01986881|838902205|EG001|Overall Cardiovascular study - Up to approximately 6 years 3 Glycemic Sub-studies - Up to 18 weeks|other|||138|2747|The analysis population for all-cause mortality was all randomized participants and the analysis population for adverse events was all participants who received at least one dose of blinded study medication. The Overall Cardiovascular Study had a follow-up of approximately 6 years whereas the glycemic sub-studies had an 18-week follow-up time.|161|Gastrointestinal disorders|Diarrhoea|5|MedDRA 22.1|SYSTEMATIC_ASSESSMENT
