id|nct_id|ctgov_group_code|result_type|title|description|outcome_id
837641585|NCT00440193|OG001|Outcome|Enoxaparin/VKA|Participants were to receive 1.0 mg/kg enoxaparin twice daily (subcutaneous) for at least 5 days, plus vitamin K antagonist (VKA) (oral) at individually titrated doses to achieve a target international normalized ratio (INR) of 2.5 (range: 2.0 to 3.0)|258372261
837641586|NCT00440193|OG000|Outcome|Rivaroxaban (Xarelto, BAY59-7939)|Participants were to receive rivaroxaban 15 mg oral tablet twice daily for 3 weeks, followed by 20 mg once daily|258372262
837641587|NCT00440193|OG001|Outcome|Enoxaparin/VKA|Participants were to receive 1.0 mg/kg enoxaparin twice daily (subcutaneous) for at least 5 days, plus vitamin K antagonist (VKA) (oral) at individually titrated doses to achieve a target international normalized ratio (INR) of 2.5 (range: 2.0 to 3.0)|258372262
837641588|NCT00440193|OG000|Outcome|Rivaroxaban (Xarelto, BAY59-7939)|Participants were to receive rivaroxaban 15 mg oral tablet twice daily for 3 weeks, followed by 20 mg once daily|258372263
837641589|NCT00440193|OG001|Outcome|Enoxaparin/VKA|Participants were to receive 1.0 mg/kg enoxaparin twice daily (subcutaneous) for at least 5 days, plus vitamin K antagonist (VKA) (oral) at individually titrated doses to achieve a target international normalized ratio (INR) of 2.5 (range: 2.0 to 3.0)|258372263
837641590|NCT00440193|OG000|Outcome|Rivaroxaban (Xarelto, BAY59-7939)|Participants were to receive rivaroxaban 15 mg oral tablet twice daily for 3 weeks, followed by 20 mg once daily|258372264
837641591|NCT00440193|OG001|Outcome|Enoxaparin/VKA|Participants were to receive 1.0 mg/kg enoxaparin twice daily (subcutaneous) for at least 5 days, plus vitamin K antagonist (VKA) (oral) at individually titrated doses to achieve a target international normalized ratio (INR) of 2.5 (range: 2.0 to 3.0)|258372264
837641592|NCT00440193|OG000|Outcome|Rivaroxaban (Xarelto, BAY59-7939)|Participants were to receive rivaroxaban 15 mg oral tablet twice daily for 3 weeks, followed by 20 mg once daily|258372265
837641593|NCT00440193|OG001|Outcome|Enoxaparin/VKA|Participants were to receive 1.0 mg/kg enoxaparin twice daily (subcutaneous) for at least 5 days, plus vitamin K antagonist (VKA) (oral) at individually titrated doses to achieve a target international normalized ratio (INR) of 2.5 (range: 2.0 to 3.0)|258372265
837641594|NCT00440193|OG000|Outcome|Rivaroxaban (Xarelto, BAY59-7939)|Participants were to receive rivaroxaban 15 mg oral tablet twice daily for 3 weeks, followed by 20 mg once daily|258372266
837641595|NCT00440193|OG001|Outcome|Enoxaparin/VKA|Participants were to receive 1.0 mg/kg enoxaparin twice daily (subcutaneous) for at least 5 days, plus vitamin K antagonist (VKA) (oral) at individually titrated doses to achieve a target international normalized ratio (INR) of 2.5 (range: 2.0 to 3.0)|258372266
837641596|NCT00440193|OG000|Outcome|Rivaroxaban (Xarelto, BAY59-7939)|Participants were to receive rivaroxaban 15 mg oral tablet twice daily for 3 weeks, followed by 20 mg once daily|258372267
837641597|NCT00440193|OG001|Outcome|Enoxaparin/VKA|Participants were to receive 1.0 mg/kg enoxaparin twice daily (subcutaneous) for at least 5 days, plus vitamin K antagonist (VKA) (oral) at individually titrated doses to achieve a target international normalized ratio (INR) of 2.5 (range: 2.0 to 3.0)|258372267
837641598|NCT00440193|OG000|Outcome|Rivaroxaban (Xarelto, BAY59-7939)|Participants were to receive rivaroxaban 15 mg oral tablet twice daily for 3 weeks, followed by 20 mg once daily|258372268
837641599|NCT00440193|OG001|Outcome|Enoxaparin/VKA|Participants were to receive 1.0 mg/kg enoxaparin twice daily (subcutaneous) for at least 5 days, plus vitamin K antagonist (VKA) (oral) at individually titrated doses to achieve a target international normalized ratio (INR) of 2.5 (range: 2.0 to 3.0)|258372268
837641600|NCT00440193|OG000|Outcome|Rivaroxaban (Xarelto, BAY59-7939)|Participants were to receive rivaroxaban 15 mg oral tablet twice daily for 3 weeks, followed by 20 mg once daily|258372269
837641601|NCT00440193|OG001|Outcome|Enoxaparin/VKA|Participants were to receive 1.0 mg/kg enoxaparin twice daily (subcutaneous) for at least 5 days, plus vitamin K antagonist (VKA) (oral) at individually titrated doses to achieve a target international normalized ratio (INR) of 2.5 (range: 2.0 to 3.0)|258372269
837641602|NCT00440193|OG000|Outcome|Rivaroxaban (Xarelto, BAY59-7939)|Participants were to receive rivaroxaban 15 mg oral tablet twice daily for 3 weeks, followed by 20 mg once daily|258372270
837641603|NCT00440193|OG001|Outcome|Enoxaparin/VKA|Participants were to receive 1.0 mg/kg enoxaparin twice daily (subcutaneous) for at least 5 days, plus vitamin K antagonist (VKA) (oral) at individually titrated doses to achieve a target international normalized ratio (INR) of 2.5 (range: 2.0 to 3.0)|258372270
837642209|NCT00440193|EG000|Reported Event|Rivaroxaban (Xarelto, BAY59-7939)|Participants were to receive rivaroxaban 15 mg oral tablet twice daily for 3 weeks, followed by 20 mg once daily|
837642210|NCT00440193|EG001|Reported Event|Enoxaparin/VKA|Participants were to receive 1.0 mg/kg enoxaparin twice daily (subcutaneous) for at least 5 days, plus vitamin K antagonist (VKA) (oral) at individually titrated doses to achieve a target international normalized ratio (INR) of 2.5 (range: 2.0 to 3.0)|
837642359|NCT00440193|FG000|Participant Flow|Rivaroxaban (Xarelto, BAY59-7939)|Participants were to receive rivaroxaban 15 mg oral tablet twice daily for 3 weeks, followed by 20 mg once daily|
837642360|NCT00440193|FG001|Participant Flow|Enoxaparin/VKA|Participants were to receive 1.0 mg/kg enoxaparin twice daily (subcutaneous) for at least 5 days, plus vitamin K antagonist (VKA) (oral) at individually titrated doses to achieve a target international normalized ratio (INR) of 2.5 (range: 2.0 to 3.0)|
837642520|NCT00440193|BG000|Baseline|Rivaroxaban (Xarelto, BAY59-7939)|Participants were to receive rivaroxaban 15 mg oral tablet twice daily for 3 weeks, followed by 20 mg once daily|
837642521|NCT00440193|BG001|Baseline|Enoxaparin/VKA|Participants were to receive 1.0 mg/kg enoxaparin twice daily (subcutaneous) for at least 5 days, plus vitamin K antagonist (VKA) (oral) at individually titrated doses to achieve a target international normalized ratio (INR) of 2.5 (range: 2.0 to 3.0)|
837642522|NCT00440193|BG002|Baseline|Total|Total of all reporting groups|
837287605|NCT01131676|OG000|Outcome|Placebo|Oral administration of Placebo matching empagliflozin 10 mg or 25 mg (1 tablet once daily)|258266629
837287606|NCT01131676|OG001|Outcome|Empagliflozin 10 mg|Oral administration of Empagliflozin 10 mg (BI 10773) film coated tablets (1 tablet once daily)|258266629
837287607|NCT01131676|OG002|Outcome|Empagliflozin 25 mg|Oral administration of Empagliflozin 25 mg (BI 10773) film coated tablets (1 tablet once daily)|258266629
837287608|NCT01131676|OG003|Outcome|All Empagliflozin|Patients who received either 10 mg or 25 mg of empagliflozin were pooled into a common empagliflozin treatment group|258266629
837287609|NCT01131676|OG000|Outcome|Placebo|Oral administration of Placebo matching empagliflozin 10 mg or 25 mg (1 tablet once daily)|258266630
837287610|NCT01131676|OG001|Outcome|Empagliflozin 10 mg|Oral administration of Empagliflozin 10 mg (BI 10773) film coated tablets (1 tablet once daily)|258266630
837287611|NCT01131676|OG002|Outcome|Empagliflozin 25 mg|Oral administration of Empagliflozin 25 mg (BI 10773) film coated tablets (1 tablet once daily)|258266630
837287612|NCT01131676|OG003|Outcome|All Empagliflozin|Patients who received either 10 mg or 25 mg of empagliflozin were pooled into a common empagliflozin treatment group|258266630
837287613|NCT01131676|OG000|Outcome|Placebo|Oral administration of Placebo matching empagliflozin 10 mg or 25 mg (1 tablet once daily)|258266631
837287614|NCT01131676|OG001|Outcome|Empagliflozin 10 mg|Oral administration of Empagliflozin 10 mg (BI 10773) film coated tablets (1 tablet once daily)|258266631
837287615|NCT01131676|OG002|Outcome|Empagliflozin 25 mg|Oral administration of Empagliflozin 25 mg (BI 10773) film coated tablets (1 tablet once daily)|258266631
837287616|NCT01131676|OG003|Outcome|All Empagliflozin|Patients who received either 10 mg or 25 mg of empagliflozin were pooled into a common empagliflozin treatment group|258266631
837287617|NCT01131676|OG000|Outcome|Placebo|Oral administration of Placebo matching empagliflozin 10 mg or 25 mg (1 tablet once daily)|258266632
837287618|NCT01131676|OG001|Outcome|Empagliflozin 10 mg|Oral administration of Empagliflozin 10 mg (BI 10773) film coated tablets (1 tablet once daily)|258266632
837287619|NCT01131676|OG002|Outcome|Empagliflozin 25 mg|Oral administration of Empagliflozin 25 mg (BI 10773) film coated tablets (1 tablet once daily)|258266632
837287620|NCT01131676|OG003|Outcome|All Empagliflozin|Patients who received either 10 mg or 25 mg of empagliflozin were pooled into a common empagliflozin treatment group|258266632
837287621|NCT01131676|OG000|Outcome|Placebo|Oral administration of Placebo matching empagliflozin 10 mg or 25 mg (1 tablet once daily)|258266633
837287622|NCT01131676|OG001|Outcome|Empagliflozin 10 mg|Oral administration of Empagliflozin 10 mg (BI 10773) film coated tablets (1 tablet once daily)|258266633
837287623|NCT01131676|OG002|Outcome|Empagliflozin 25 mg|Oral administration of Empagliflozin 25 mg (BI 10773) film coated tablets (1 tablet once daily)|258266633
837287624|NCT01131676|OG003|Outcome|All Empagliflozin|Patients who received either 10 mg or 25 mg of empagliflozin were pooled into a common empagliflozin treatment group|258266633
837287625|NCT01131676|OG000|Outcome|Placebo|Oral administration of Placebo matching empagliflozin 10 mg or 25 mg (1 tablet once daily)|258266634
837287626|NCT01131676|OG001|Outcome|Empagliflozin 10 mg|Oral administration of Empagliflozin 10 mg (BI 10773) film coated tablets (1 tablet once daily)|258266634
837287627|NCT01131676|OG002|Outcome|Empagliflozin 25 mg|Oral administration of Empagliflozin 25 mg (BI 10773) film coated tablets (1 tablet once daily)|258266634
837287628|NCT01131676|OG003|Outcome|All Empagliflozin|Patients who received either 10 mg or 25 mg of empagliflozin were pooled into a common empagliflozin treatment group|258266634
837287629|NCT01131676|OG000|Outcome|Placebo|Oral administration of Placebo matching empagliflozin 10 mg or 25 mg (1 tablet once daily)|258266635
837287630|NCT01131676|OG001|Outcome|Empagliflozin 10 mg|Oral administration of Empagliflozin 10 mg (BI 10773) film coated tablets (1 tablet once daily)|258266635
837287631|NCT01131676|OG002|Outcome|Empagliflozin 25 mg|Oral administration of Empagliflozin 25 mg (BI 10773) film coated tablets (1 tablet once daily)|258266635
837287632|NCT01131676|OG003|Outcome|All Empagliflozin|Patients who received either 10 mg or 25 mg of empagliflozin were pooled into a common empagliflozin treatment group|258266635
837288045|NCT01131676|EG000|Reported Event|Placebo|Oral administration of Placebo matching empagliflozin 10 mg or 25 mg (1 tablet once daily)|
837288046|NCT01131676|EG001|Reported Event|Empagliflozin 10 mg|Oral administration of Empagliflozin 10 mg (BI 10773) film coated tablets (1 tablet once daily)|
837288047|NCT01131676|EG002|Reported Event|Empagliflozin 25 mg|Oral administration of Empagliflozin 25 mg (BI 10773) film coated tablets (1 tablet once daily)|
837288189|NCT01131676|FG000|Participant Flow|Placebo|Oral administration of Placebo matching empagliflozin 10 mg or 25 mg (1 tablet once daily)|
837288190|NCT01131676|FG001|Participant Flow|Empagliflozin 10 mg|Oral administration of Empagliflozin 10 mg (BI 10773) film coated tablets (1 tablet once daily)|
837288191|NCT01131676|FG002|Participant Flow|Empagliflozin 25 mg|Oral administration of Empagliflozin 25 mg (BI 10773) film coated tablets (1 tablet once daily)|
837288341|NCT01131676|BG000|Baseline|Placebo|Oral administration of Placebo matching empagliflozin 10 mg or 25 mg (1 tablet once daily)|
837288342|NCT01131676|BG001|Baseline|Empagliflozin 10 mg|Oral administration of Empagliflozin 10 mg (BI 10773) film coated tablets (1 tablet once daily)|
837288343|NCT01131676|BG002|Baseline|Empagliflozin 25 mg|Oral administration of Empagliflozin 25 mg (BI 10773) film coated tablets (1 tablet once daily)|
837288344|NCT01131676|BG003|Baseline|Total|Total of all reporting groups|
837692201|NCT00986154|OG000|Outcome|Heparin/Edoxaban Tosylate|"edoxaban tosylate(DU-176b): edoxaban tosylate(DU-176b), film-coated tablet for oral use, 30 mg, two tablets (60 mg) once daily, maximum of 12 months treatment~low molecular weight heparin/unfractionated heparin: LMW heparin - subcutaneous injection, 1 mg/Kg twice daily or 1.5 mg/Kg once daily.~Unfractionated heparin - 5,000 IU bolus intravenous administration, 1,300 IU/hour continuous infusion, minimum of 5 days and maximum of about 12 days treatment"|258387756
837692202|NCT00986154|OG001|Outcome|Heparin/Warfarin|"low molecular weight heparin/unfractionated heparin: LMW heparin - subcutaneous injection, 1 mg/Kg twice daily or 1.5 mg/Kg once daily.~Unfractionated heparin - 5,000 IU bolus intravenous administration, 1,300 IU/hour continuous infusion, minimum of 5 days and maximum of about 12 days treatment~warfarin: tablet for oral use; 0.5 mg, 1 mg, 2.5 mg, 5 mg; daily dosage, adjusted to maintain international normalized ratio (INR) between 2.0 and 3.0; maximum of 12 months treatment"|258387756
837692203|NCT00986154|OG000|Outcome|Heparin/Edoxaban Tosylate|"edoxaban tosylate(DU-176b): edoxaban tosylate(DU-176b), film-coated tablet for oral use, 30 mg, two tablets (60 mg) once daily, maximum of 12 months treatment~low molecular weight heparin/unfractionated heparin: LMW heparin - subcutaneous injection, 1 mg/Kg twice daily or 1.5 mg/Kg once daily.~Unfractionated heparin - 5,000 IU bolus intravenous administration, 1,300 IU/hour continuous infusion, minimum of 5 days and maximum of about 12 days treatment"|258387757
837692204|NCT00986154|OG001|Outcome|Heparin/Warfarin|"low molecular weight heparin/unfractionated heparin: LMW heparin - subcutaneous injection, 1 mg/Kg twice daily or 1.5 mg/Kg once daily.~Unfractionated heparin - 5,000 IU bolus intravenous administration, 1,300 IU/hour continuous infusion, minimum of 5 days and maximum of about 12 days treatment~warfarin: tablet for oral use; 0.5 mg, 1 mg, 2.5 mg, 5 mg; daily dosage, adjusted to maintain international normalized ratio (INR) between 2.0 and 3.0; maximum of 12 months treatment"|258387757
837692205|NCT00986154|OG000|Outcome|Heparin/Edoxaban Tosylate|"edoxaban tosylate(DU-176b): edoxaban tosylate(DU-176b), film-coated tablet for oral use, 30 mg, two tablets (60 mg) once daily, maximum of 12 months treatment~low molecular weight heparin/unfractionated heparin: LMW heparin - subcutaneous injection, 1 mg/Kg twice daily or 1.5 mg/Kg once daily.~Unfractionated heparin - 5,000 IU bolus intravenous administration, 1,300 IU/hour continuous infusion, minimum of 5 days and maximum of about 12 days treatment"|258387758
837692206|NCT00986154|OG001|Outcome|Heparin/Warfarin|"low molecular weight heparin/unfractionated heparin: LMW heparin - subcutaneous injection, 1 mg/Kg twice daily or 1.5 mg/Kg once daily.~Unfractionated heparin - 5,000 IU bolus intravenous administration, 1,300 IU/hour continuous infusion, minimum of 5 days and maximum of about 12 days treatment~warfarin: tablet for oral use; 0.5 mg, 1 mg, 2.5 mg, 5 mg; daily dosage, adjusted to maintain international normalized ratio (INR) between 2.0 and 3.0; maximum of 12 months treatment"|258387758
837692747|NCT00986154|EG000|Reported Event|Heparin/Edoxaban Tosylate|"edoxaban tosylate(DU-176b): edoxaban tosylate(DU-176b), film-coated tablet for oral use, 30 mg, two tablets (60 mg) once daily, maximum of 12 months treatment~low molecular weight heparin/unfractionated heparin: LMW heparin - subcutaneous injection, 1 mg/Kg twice daily or 1.5 mg/Kg once daily.~Unfractionated heparin - 5,000 IU bolus intravenous administration, 1,300 IU/hour continuous infusion, minimum of 5 days and maximum of about 12 days treatment"|
837692748|NCT00986154|EG001|Reported Event|Heparin/Warfarin|"low molecular weight heparin/unfractionated heparin: LMW heparin - subcutaneous injection, 1 mg/Kg twice daily or 1.5 mg/Kg once daily.~Unfractionated heparin - 5,000 IU bolus intravenous administration, 1,300 IU/hour continuous infusion, minimum of 5 days and maximum of about 12 days treatment~warfarin: tablet for oral use; 0.5 mg, 1 mg, 2.5 mg, 5 mg; daily dosage, adjusted to maintain international normalized ratio (INR) between 2.0 and 3.0; maximum of 12 months treatment"|
837692940|NCT00986154|FG000|Participant Flow|Heparin/Edoxaban Tosylate|"edoxaban tosylate(DU-176b): edoxaban tosylate(DU-176b), film-coated tablet for oral use, 30 mg, two tablets (60 mg) once daily, maximum of 12 months treatment~low molecular weight heparin/unfractionated heparin: LMW heparin - subcutaneous injection, 1 mg/Kg twice daily or 1.5 mg/Kg once daily.~Unfractionated heparin - 5,000 IU bolus intravenous administration, 1,300 IU/hour continuous infusion, minimum of 5 days and maximum of about 12 days treatment"|
837692941|NCT00986154|FG001|Participant Flow|Heparin/Warfarin|"low molecular weight heparin/unfractionated heparin: LMW heparin - subcutaneous injection, 1 mg/Kg twice daily or 1.5 mg/Kg once daily.~Unfractionated heparin - 5,000 IU bolus intravenous administration, 1,300 IU/hour continuous infusion, minimum of 5 days and maximum of about 12 days treatment~warfarin: tablet for oral use; 0.5 mg, 1 mg, 2.5 mg, 5 mg; daily dosage, adjusted to maintain international normalized ratio (INR) between 2.0 and 3.0; maximum of 12 months treatment"|
837693157|NCT00986154|BG000|Baseline|Heparin/Edoxaban Tosylate|"edoxaban tosylate(DU-176b): edoxaban tosylate(DU-176b), film-coated tablet for oral use, 30 mg, two tablets (60 mg) once daily, maximum of 12 months treatment~low molecular weight heparin/unfractionated heparin: LMW heparin - subcutaneous injection, 1 mg/Kg twice daily or 1.5 mg/Kg once daily.~Unfractionated heparin - 5,000 IU bolus intravenous administration, 1,300 IU/hour continuous infusion, minimum of 5 days and maximum of about 12 days treatment"|
837693158|NCT00986154|BG001|Baseline|Heparin/Warfarin|"low molecular weight heparin/unfractionated heparin: LMW heparin - subcutaneous injection, 1 mg/Kg twice daily or 1.5 mg/Kg once daily.~Unfractionated heparin - 5,000 IU bolus intravenous administration, 1,300 IU/hour continuous infusion, minimum of 5 days and maximum of about 12 days treatment~warfarin: tablet for oral use; 0.5 mg, 1 mg, 2.5 mg, 5 mg; daily dosage, adjusted to maintain international normalized ratio (INR) between 2.0 and 3.0; maximum of 12 months treatment"|
837693159|NCT00986154|BG002|Baseline|Total|Total of all reporting groups|
839029224|NCT04730947|OG000|Outcome|Dapagliflozin Group|"Subjects with HFpEF will take the study drug dapagliflozin daily~Dapagliflozin: 10 mg orally once a day"|258789287
839029225|NCT04730947|OG001|Outcome|Placebo Group|"Subjects with HFpEF will take a placebo daily~Placebo: Taken orally once a day, the placebo looks identical to the study drug but it contains no active ingredient"|258789287
839029226|NCT04730947|OG000|Outcome|Dapagliflozin Group|"Subjects with HFpEF will take the study drug dapagliflozin daily~Dapagliflozin: 10 mg orally once a day"|258789288
839029227|NCT04730947|OG001|Outcome|Placebo Group|"Subjects with HFpEF will take a placebo daily~Placebo: Taken orally once a day, the placebo looks identical to the study drug but it contains no active ingredient"|258789288
839029228|NCT04730947|OG000|Outcome|Dapagliflozin Group|"Subjects with HFpEF will take the study drug dapagliflozin daily~Dapagliflozin: 10 mg orally once a day"|258789289
839029229|NCT04730947|OG001|Outcome|Placebo Group|"Subjects with HFpEF will take a placebo daily~Placebo: Taken orally once a day, the placebo looks identical to the study drug but it contains no active ingredient"|258789289
839029230|NCT04730947|OG000|Outcome|Dapagliflozin Group|"Subjects with HFpEF will take the study drug dapagliflozin daily~Dapagliflozin: 10 mg orally once a day"|258789290
839029231|NCT04730947|OG001|Outcome|Placebo Group|"Subjects with HFpEF will take a placebo daily~Placebo: Taken orally once a day, the placebo looks identical to the study drug but it contains no active ingredient"|258789290
839029232|NCT04730947|OG000|Outcome|Dapagliflozin Group|"Subjects with HFpEF will take the study drug dapagliflozin daily~Dapagliflozin: 10 mg orally once a day"|258789291
839029233|NCT04730947|OG001|Outcome|Placebo Group|"Subjects with HFpEF will take a placebo daily~Placebo: Taken orally once a day, the placebo looks identical to the study drug but it contains no active ingredient"|258789291
839029234|NCT04730947|OG000|Outcome|Dapagliflozin Group|"Subjects with HFpEF will take the study drug dapagliflozin daily~Dapagliflozin: 10 mg orally once a day"|258789292
839029235|NCT04730947|OG001|Outcome|Placebo Group|"Subjects with HFpEF will take a placebo daily~Placebo: Taken orally once a day, the placebo looks identical to the study drug but it contains no active ingredient"|258789292
839029236|NCT04730947|OG000|Outcome|Dapagliflozin Group|"Subjects with HFpEF will take the study drug dapagliflozin daily~Dapagliflozin: 10 mg orally once a day"|258789293
839029237|NCT04730947|OG001|Outcome|Placebo Group|"Subjects with HFpEF will take a placebo daily~Placebo: Taken orally once a day, the placebo looks identical to the study drug but it contains no active ingredient"|258789293
839029238|NCT04730947|OG000|Outcome|Dapagliflozin Group|"Subjects with HFpEF will take the study drug dapagliflozin daily~Dapagliflozin: 10 mg orally once a day"|258789294
839029239|NCT04730947|OG001|Outcome|Placebo Group|"Subjects with HFpEF will take a placebo daily~Placebo: Taken orally once a day, the placebo looks identical to the study drug but it contains no active ingredient"|258789294
839029240|NCT04730947|OG000|Outcome|Dapagliflozin Group|"Subjects with HFpEF will take the study drug dapagliflozin daily~Dapagliflozin: 10 mg orally once a day"|258789295
839029241|NCT04730947|OG001|Outcome|Placebo Group|"Subjects with HFpEF will take a placebo daily~Placebo: Taken orally once a day, the placebo looks identical to the study drug but it contains no active ingredient"|258789295
839031366|NCT04730947|EG000|Reported Event|Dapagliflozin Group|"Subjects with HFpEF will take the study drug dapagliflozin daily~Dapagliflozin: 10 mg orally once a day"|
839031367|NCT04730947|EG001|Reported Event|Placebo Group|"Subjects with HFpEF will take a placebo daily~Placebo: Taken orally once a day, the placebo looks identical to the study drug but it contains no active ingredient"|
839031606|NCT04730947|FG000|Participant Flow|Dapagliflozin Group|"Subjects with heart failure/preserved ejection fraction (HFpEF) will take the study drug dapagliflozin daily~Dapagliflozin: 10 mg orally once a day"|
839031607|NCT04730947|FG001|Participant Flow|Placebo Group|"Subjects with HFpEF will take a placebo daily~Placebo: Taken orally once a day, the placebo looks identical to the study drug but it contains no active ingredient"|
839031840|NCT04730947|BG000|Baseline|Dapagliflozin Group|"Subjects with HFpEF will take the study drug dapagliflozin daily~Dapagliflozin: 10 mg orally once a day"|
839031841|NCT04730947|BG001|Baseline|Placebo Group|"Subjects with HFpEF will take a placebo daily~Placebo: Taken orally once a day, the placebo looks identical to the study drug but it contains no active ingredient"|
839031842|NCT04730947|BG002|Baseline|Total|Total of all reporting groups|
837697963|NCT00291330|OG000|Outcome|Dabigatran 150 mg|bid (twice daily) oral|258389495
837697964|NCT00291330|OG001|Outcome|Warfarin|PRN to maintain an INR of 2.0-3.0|258389495
837697965|NCT00291330|OG000|Outcome|Dabigatran 150 mg|bid (twice daily) oral|258389496
837697966|NCT00291330|OG001|Outcome|Warfarin|PRN to maintain an INR of 2.0-3.0|258389496
837697967|NCT00291330|OG000|Outcome|Dabigatran 150 mg|bid (twice daily) oral|258389497
837697968|NCT00291330|OG001|Outcome|Warfarin|PRN to maintain an INR of 2.0-3.0|258389497
837697969|NCT00291330|OG000|Outcome|Dabigatran 150 mg|bid (twice daily) oral|258389498
837697970|NCT00291330|OG001|Outcome|Warfarin|PRN to maintain an INR of 2.0-3.0|258389498
837697971|NCT00291330|OG000|Outcome|Dabigatran 150 mg|bid (twice daily) oral|258389499
837697972|NCT00291330|OG001|Outcome|Warfarin|PRN to maintain an INR of 2.0-3.0|258389499
837697973|NCT00291330|OG000|Outcome|Dabigatran 150 mg|bid (twice daily) oral|258389500
837697974|NCT00291330|OG001|Outcome|Warfarin|PRN to maintain an INR of 2.0-3.0|258389500
837697975|NCT00291330|OG000|Outcome|Dabigatran 150 mg|bid (twice daily) oral|258389501
837697976|NCT00291330|OG001|Outcome|Warfarin|PRN to maintain an INR of 2.0-3.0|258389501
837697977|NCT00291330|OG000|Outcome|Dabigatran 150 mg|bid (twice daily) oral|258389502
837697978|NCT00291330|OG001|Outcome|Warfarin|PRN to maintain an INR of 2.0-3.0|258389502
837697979|NCT00291330|OG000|Outcome|Dabigatran 150 mg|bid (twice daily) oral|258389503
837697980|NCT00291330|OG001|Outcome|Warfarin|PRN to maintain an INR of 2.0-3.0|258389503
837698455|NCT00291330|EG000|Reported Event|Dabigatran 150 mg|bid (twice daily) oral|
837698456|NCT00291330|EG001|Reported Event|Warfarin|PRN to maintain an INR of 2.0-3.0|
837698645|NCT00291330|FG000|Participant Flow|Dabigatran 150 mg|bid (twice daily) oral|
837698646|NCT00291330|FG001|Participant Flow|Warfarin|PRN to maintain an INR of 2.0-3.0|
837698854|NCT00291330|BG000|Baseline|Dabigatran 150 mg|bid (twice daily) oral|
837698855|NCT00291330|BG001|Baseline|Warfarin|PRN to maintain an INR of 2.0-3.0|
837698856|NCT00291330|BG002|Baseline|Total|Total of all reporting groups|
837866111|NCT00680186|OG000|Outcome|Dabigatran 150 mg|bid oral|258441058
837866112|NCT00680186|OG001|Outcome|Warfarin|PRN to maintain an INR of 2.0-3.0|258441058
837866113|NCT00680186|OG000|Outcome|Dabigatran 150 mg|bid oral|258441059
837866114|NCT00680186|OG001|Outcome|Warfarin|PRN to maintain an INR of 2.0-3.0|258441059
837866115|NCT00680186|OG000|Outcome|Dabigatran 150 mg|bid oral|258441060
837866116|NCT00680186|OG001|Outcome|Warfarin|PRN to maintain an INR of 2.0-3.0|258441060
837866117|NCT00680186|OG000|Outcome|Dabigatran 150 mg|bid oral|258441061
837866118|NCT00680186|OG001|Outcome|Warfarin|PRN to maintain an INR of 2.0-3.0|258441061
