id|nct_id|ctgov_group_code|result_type|title|description|outcome_id
837641574|NCT00440193|OG000|Outcome|Rivaroxaban (Xarelto, BAY59-7939)|Participants were to receive rivaroxaban 15 mg oral tablet twice daily for 3 weeks, followed by 20 mg once daily|258372256
837641575|NCT00440193|OG001|Outcome|Enoxaparin/VKA|Participants were to receive 1.0 mg/kg enoxaparin twice daily (subcutaneous) for at least 5 days, plus vitamin K antagonist (VKA) (oral) at individually titrated doses to achieve a target international normalized ratio (INR) of 2.5 (range: 2.0 to 3.0)|258372256
837641576|NCT00440193|OG000|Outcome|Rivaroxaban (Xarelto, BAY59-7939)|Participants were to receive rivaroxaban 15 mg oral tablet twice daily for 3 weeks, followed by 20 mg once daily|258372257
837641577|NCT00440193|OG001|Outcome|Enoxaparin/VKA|Participants were to receive 1.0 mg/kg enoxaparin twice daily (subcutaneous) for at least 5 days, plus vitamin K antagonist (VKA) (oral) at individually titrated doses to achieve a target international normalized ratio (INR) of 2.5 (range: 2.0 to 3.0)|258372257
837641578|NCT00440193|OG000|Outcome|Rivaroxaban (Xarelto, BAY59-7939)|Participants were to receive rivaroxaban 15 mg oral tablet twice daily for 3 weeks, followed by 20 mg once daily|258372258
837641579|NCT00440193|OG001|Outcome|Enoxaparin/VKA|Participants were to receive 1.0 mg/kg enoxaparin twice daily (subcutaneous) for at least 5 days, plus vitamin K antagonist (VKA) (oral) at individually titrated doses to achieve a target international normalized ratio (INR) of 2.5 (range: 2.0 to 3.0)|258372258
837641580|NCT00440193|OG000|Outcome|Rivaroxaban (Xarelto, BAY59-7939)|Participants were to receive rivaroxaban 15 mg oral tablet twice daily for 3 weeks, followed by 20 mg once daily|258372259
837641581|NCT00440193|OG001|Outcome|Enoxaparin/VKA|Participants were to receive 1.0 mg/kg enoxaparin twice daily (subcutaneous) for at least 5 days, plus vitamin K antagonist (VKA) (oral) at individually titrated doses to achieve a target international normalized ratio (INR) of 2.5 (range: 2.0 to 3.0)|258372259
837641582|NCT00440193|OG000|Outcome|Rivaroxaban (Xarelto, BAY59-7939)|Participants were to receive rivaroxaban 15 mg oral tablet twice daily for 3 weeks, followed by 20 mg once daily|258372260
837641583|NCT00440193|OG001|Outcome|Enoxaparin/VKA|Participants were to receive 1.0 mg/kg enoxaparin twice daily (subcutaneous) for at least 5 days, plus vitamin K antagonist (VKA) (oral) at individually titrated doses to achieve a target international normalized ratio (INR) of 2.5 (range: 2.0 to 3.0)|258372260
837641584|NCT00440193|OG000|Outcome|Rivaroxaban (Xarelto, BAY59-7939)|Participants were to receive rivaroxaban 15 mg oral tablet twice daily for 3 weeks, followed by 20 mg once daily|258372261
