slug | n objects | by kind | by severity | by evidence_state
balanced-crystalloids-vs-saline-mortality | 17 | AUDITABILITY_SCOPE=2, DECLARED_ABSENT_SECTION=2, FUNDING_COI=1, GRADE_CERTAINTY=1, RANDOMISED_CONTRAST=1, REPRODUCTION_RETRACTION=1, RETRIEVAL_CLASS=2, RETRIEVAL_SNAPSHOT=1, ROB_SENSITIVITY=1, ROB_SPANCHECK=1, SEARCH_PROVENANCE=1, STALE_TOPIC=1, UNIT_OF_ANALYSIS=2 | BLOCKS_CLAIM=5, NOTE=4, QUALIFIES_CLAIM=8 | DECLARED_ABSENT=2, NOT_ASSESSED=1, PARTIAL=3, PROVISIONAL=1, RECORDED=3, REFUSED_ON_EVIDENCE=1, RETRACTED=2, STALE=1, UNRECORDED=3
colchicine-postop-af | 15 | AUDITABILITY_SCOPE=2, DECLARED_ABSENT_SECTION=1, DEFINITION_AUDIT=1, FUNDING_COI=1, GRADE_CERTAINTY=1, RANDOMISED_CONTRAST=1, REPRODUCTION_RETRACTION=1, RETRIEVAL_CLASS=2, RETRIEVAL_SNAPSHOT=1, ROB_SENSITIVITY=1, ROB_SPANCHECK=1, SEARCH_PROVENANCE=1, STALE_TOPIC=1 | BLOCKS_CLAIM=4, NOTE=4, QUALIFIES_CLAIM=7 | DECLARED_ABSENT=1, PARTIAL=4, PROVISIONAL=1, RECORDED=3, RETRACTED=2, STALE=1, UNRECORDED=3
colchicine-recurrent-pericarditis | 17 | AUDITABILITY_SCOPE=2, DECLARED_ABSENT_SECTION=3, DEFINITION_AUDIT=1, FUNDING_COI=1, GRADE_CERTAINTY=1, RANDOMISED_CONTRAST=1, REPRODUCTION_RETRACTION=1, RETRIEVAL_CLASS=2, RETRIEVAL_SNAPSHOT=1, ROB_SENSITIVITY=1, ROB_SPANCHECK=1, SEARCH_PROVENANCE=1, STALE_TOPIC=1 | BLOCKS_CLAIM=6, NOTE=4, QUALIFIES_CLAIM=7 | DECLARED_ABSENT=3, PARTIAL=3, PROVISIONAL=1, RECORDED=4, RETRACTED=2, STALE=1, UNRECORDED=3
colchicine-secondary-cv-prevention | 15 | AUDITABILITY_SCOPE=2, DEFINITION_AUDIT=1, FUNDING_COI=1, GRADE_CERTAINTY=1, RANDOMISED_CONTRAST=1, REPRODUCTION_RETRACTION=1, RETRIEVAL_CLASS=2, RETRIEVAL_SNAPSHOT=1, ROB_SENSITIVITY=1, ROB_SPANCHECK=1, SEARCH_PROVENANCE=1, STALE_TOPIC=1, UNIT_OF_ANALYSIS=1 | BLOCKS_CLAIM=3, NOTE=4, QUALIFIES_CLAIM=8 | NOT_ASSESSED=1, PARTIAL=4, PROVISIONAL=1, RECORDED=3, RETRACTED=2, STALE=1, UNRECORDED=3
corticosteroids-cap-mortality | 15 | AUDITABILITY_SCOPE=2, DECLARED_ABSENT_SECTION=1, DEFINITION_AUDIT=1, FUNDING_COI=1, GRADE_CERTAINTY=1, RANDOMISED_CONTRAST=1, REPRODUCTION_RETRACTION=1, RETRIEVAL_CLASS=2, RETRIEVAL_SNAPSHOT=1, ROB_SENSITIVITY=1, ROB_SPANCHECK=1, SEARCH_PROVENANCE=1, STALE_TOPIC=1 | BLOCKS_CLAIM=4, NOTE=4, QUALIFIES_CLAIM=7 | DECLARED_ABSENT=1, PARTIAL=4, PROVISIONAL=1, RECORDED=4, RETRACTED=2, STALE=1, UNRECORDED=2
corticosteroids-covid19-mortality | 14 | AUDITABILITY_SCOPE=2, DECLARED_ABSENT_SECTION=1, FUNDING_COI=1, GRADE_CERTAINTY=1, RANDOMISED_CONTRAST=1, REPRODUCTION_RETRACTION=1, RETRIEVAL_CLASS=2, RETRIEVAL_SNAPSHOT=1, ROB_SENSITIVITY=1, ROB_SPANCHECK=1, SEARCH_PROVENANCE=1, STALE_TOPIC=1 | BLOCKS_CLAIM=4, NOTE=4, QUALIFIES_CLAIM=6 | DECLARED_ABSENT=1, PARTIAL=1, PROVISIONAL=1, RECORDED=5, RETRACTED=2, STALE=1, UNRECORDED=3
dapagliflozin-hfpef-hosp | 15 | AUDITABILITY_SCOPE=2, DECLARED_ABSENT_SECTION=1, FUNDING_COI=1, GRADE_CERTAINTY=1, RANDOMISED_CONTRAST=1, REPRODUCTION_RETRACTION=1, RETRIEVAL_CLASS=2, RETRIEVAL_SNAPSHOT=1, ROB_SENSITIVITY=1, ROB_SPANCHECK=1, SEARCH_ENUMERATION_ONLY=1, SEARCH_PROVENANCE=1, STALE_TOPIC=1 | BLOCKS_CLAIM=5, NOTE=4, QUALIFIES_CLAIM=6 | NOT_RUN=3, PARTIAL=1, PROVISIONAL=1, RECORDED=6, RETRACTED=2, STALE=1, UNKNOWN=1
denosumab-vertebral-fracture | 14 | AUDITABILITY_SCOPE=2, DECLARED_ABSENT_SECTION=2, FUNDING_COI=1, GRADE_CERTAINTY=1, RANDOMISED_CONTRAST=1, REPRODUCTION_RETRACTION=1, RETRIEVAL_CLASS=2, RETRIEVAL_SNAPSHOT=1, ROB_SENSITIVITY=1, ROB_SPANCHECK=1, SEARCH_PROVENANCE=1 | BLOCKS_CLAIM=4, NOTE=4, QUALIFIES_CLAIM=6 | DECLARED_ABSENT=2, PARTIAL=2, PROVISIONAL=1, RECORDED=4, RETRACTED=2, UNRECORDED=3
doac-vte-recurrence | 15 | AUDITABILITY_SCOPE=2, DECLARED_ABSENT_SECTION=1, FUNDING_COI=1, GRADE_CERTAINTY=1, RANDOMISED_CONTRAST=1, REPRODUCTION_RETRACTION=1, RETRIEVAL_CLASS=2, RETRIEVAL_SNAPSHOT=1, ROB_SENSITIVITY=1, ROB_SPANCHECK=1, SEARCH_ENUMERATION_ONLY=1, SEARCH_PROVENANCE=1, STALE_TOPIC=1 | BLOCKS_CLAIM=5, NOTE=4, QUALIFIES_CLAIM=6 | NOT_RUN=3, PARTIAL=2, PROVISIONAL=1, RECORDED=5, RETRACTED=2, STALE=1, UNKNOWN=1
dpp4-mace-t2d | 15 | AUDITABILITY_SCOPE=2, DECLARED_ABSENT_SECTION=1, FUNDING_COI=1, GRADE_CERTAINTY=1, RANDOMISED_CONTRAST=1, REPRODUCTION_RETRACTION=1, RETRIEVAL_CLASS=2, RETRIEVAL_SNAPSHOT=1, ROB_SENSITIVITY=1, ROB_SPANCHECK=1, SEARCH_ENUMERATION_ONLY=1, SEARCH_PROVENANCE=1, STALE_TOPIC=1 | BLOCKS_CLAIM=5, NOTE=4, QUALIFIES_CLAIM=6 | NOT_RUN=3, PARTIAL=3, PROVISIONAL=1, RECORDED=4, RETRACTED=2, STALE=1, UNKNOWN=1
