slug | n objects | by kind | by severity | by evidence_state
empagliflozin-hfpef-hosp | 16 | AUDITABILITY_SCOPE=2, DECLARED_ABSENT_SECTION=1, DEFINITION_AUDIT=1, FUNDING_COI=1, GRADE_CERTAINTY=1, RANDOMISED_CONTRAST=1, REPRODUCTION_RETRACTION=1, RETRIEVAL_CLASS=2, RETRIEVAL_SNAPSHOT=1, ROB_SENSITIVITY=1, ROB_SPANCHECK=1, SEARCH_ENUMERATION_ONLY=1, SEARCH_PROVENANCE=1, STALE_TOPIC=1 | BLOCKS_CLAIM=5, NOTE=4, QUALIFIES_CLAIM=7 | NOT_RUN=3, PARTIAL=2, PROVISIONAL=1, RECORDED=6, RETRACTED=2, STALE=1, UNKNOWN=1
esketamine-trd-madrs | 14 | AUDITABILITY_SCOPE=2, DECLARED_ABSENT_SECTION=1, FUNDING_COI=1, GRADE_CERTAINTY=1, RANDOMISED_CONTRAST=1, REPRODUCTION_RETRACTION=1, RETRIEVAL_CLASS=2, RETRIEVAL_SNAPSHOT=1, ROB_SENSITIVITY=1, ROB_SPANCHECK=1, SEARCH_PROVENANCE=1, STALE_TOPIC=1 | BLOCKS_CLAIM=4, NOTE=4, QUALIFIES_CLAIM=6 | DECLARED_ABSENT=1, PARTIAL=2, PROVISIONAL=1, RECORDED=5, RETRACTED=2, STALE=1, UNRECORDED=2
finerenone-ckd-t2d-renal | 15 | AUDITABILITY_SCOPE=2, DECLARED_ABSENT_SECTION=2, FUNDING_COI=1, GRADE_CERTAINTY=1, RANDOMISED_CONTRAST=1, REPRODUCTION_RETRACTION=1, RETRIEVAL_CLASS=2, RETRIEVAL_SNAPSHOT=1, ROB_SENSITIVITY=1, ROB_SPANCHECK=1, SEARCH_PROVENANCE=1, STALE_TOPIC=1 | BLOCKS_CLAIM=5, NOTE=4, QUALIFIES_CLAIM=6 | DECLARED_ABSENT=2, PARTIAL=1, PROVISIONAL=1, RECORDED=5, RETRACTED=2, STALE=1, UNRECORDED=3
glp1-ra-mace-t2d | 16 | AUDITABILITY_SCOPE=2, DECLARED_ABSENT_SECTION=2, FUNDING_COI=1, GRADE_CERTAINTY=1, RANDOMISED_CONTRAST=1, REPRODUCTION_RETRACTION=1, RETRIEVAL_CLASS=2, RETRIEVAL_SNAPSHOT=1, ROB_SENSITIVITY=1, ROB_SPANCHECK=1, SEARCH_ENUMERATION_ONLY=1, SEARCH_PROVENANCE=1, STALE_TOPIC=1 | BLOCKS_CLAIM=6, NOTE=4, QUALIFIES_CLAIM=6 | DECLARED_ABSENT=2, NOT_RUN=3, PARTIAL=2, PROVISIONAL=1, RECORDED=4, RETRACTED=2, STALE=1, UNRECORDED=1
iv-iron-hfref-hosp | 19 | AUDITABILITY_SCOPE=2, CLAIM_CHECK_ZERO=1, DECLARED_ABSENT_SECTION=2, DECLARED_STRANDS=1, DEFINITION_AUDIT=1, FUNDING_COI=1, GRADE_CERTAINTY=1, RANDOMISED_CONTRAST=1, REPRODUCTION_RETRACTION=1, RETRIEVAL_CLASS=2, RETRIEVAL_SNAPSHOT=1, ROB_SPANCHECK=1, SEARCH_PROVENANCE=1, STALE_TOPIC=1, SUPPRESSED_POOL=2 | BLOCKS_CLAIM=8, NOTE=4, QUALIFIES_CLAIM=7 | DECLARED_ABSENT=2, NOT_ASSESSED=1, NOT_RUN=1, PARTIAL=2, RECORDED=4, REFUSED_ON_EVIDENCE=1, RETRACTED=2, STALE=1, SUPPRESSED=2, UNRECORDED=3
melatonin-primary-insomnia-sol | 15 | AUDITABILITY_SCOPE=2, DECLARED_ABSENT_SECTION=1, DEFINITION_AUDIT=1, FUNDING_COI=1, GRADE_CERTAINTY=1, RANDOMISED_CONTRAST=1, REPRODUCTION_RETRACTION=1, RETRIEVAL_CLASS=2, RETRIEVAL_SNAPSHOT=1, ROB_SENSITIVITY=1, ROB_SPANCHECK=1, SEARCH_PROVENANCE=1, STALE_TOPIC=1 | BLOCKS_CLAIM=4, NOTE=4, QUALIFIES_CLAIM=7 | DECLARED_ABSENT=1, PARTIAL=3, PROVISIONAL=1, RECORDED=5, RETRACTED=2, STALE=1, UNRECORDED=2
metformin-pcos-ovulation | 15 | AUDITABILITY_SCOPE=2, DECLARED_ABSENT_SECTION=2, FUNDING_COI=1, GRADE_CERTAINTY=1, RANDOMISED_CONTRAST=1, REPRODUCTION_RETRACTION=1, RETRIEVAL_CLASS=2, RETRIEVAL_SNAPSHOT=1, ROB_SENSITIVITY=1, ROB_SPANCHECK=1, SEARCH_PROVENANCE=1, STALE_TOPIC=1 | BLOCKS_CLAIM=5, NOTE=4, QUALIFIES_CLAIM=6 | DECLARED_ABSENT=2, PARTIAL=3, PROVISIONAL=1, RECORDED=4, RETRACTED=2, STALE=1, UNRECORDED=2
noac-vs-warfarin-af-stroke | 14 | AUDITABILITY_SCOPE=2, FUNDING_COI=1, GRADE_CERTAINTY=1, RANDOMISED_CONTRAST=1, REPRODUCTION_RETRACTION=1, RETRIEVAL_CLASS=2, RETRIEVAL_SNAPSHOT=1, ROB_SENSITIVITY=1, ROB_SPANCHECK=1, SEARCH_ENUMERATION_ONLY=1, SEARCH_PROVENANCE=1, STALE_TOPIC=1 | BLOCKS_CLAIM=4, NOTE=4, QUALIFIES_CLAIM=6 | NOT_RUN=3, PARTIAL=2, PROVISIONAL=1, RECORDED=4, RETRACTED=2, STALE=1, UNRECORDED=1
omega3-cardiovascular-events | 16 | AUDITABILITY_SCOPE=2, DECLARED_ABSENT_SECTION=1, DEFINITION_AUDIT=1, FUNDING_COI=1, GRADE_CERTAINTY=1, RANDOMISED_CONTRAST=1, REPRODUCTION_RETRACTION=1, RETRIEVAL_CLASS=2, RETRIEVAL_SNAPSHOT=1, ROB_SENSITIVITY=1, ROB_SPANCHECK=1, SEARCH_PROVENANCE=1, STALE_TOPIC=1, UNIT_OF_ANALYSIS=1 | BLOCKS_CLAIM=4, NOTE=4, QUALIFIES_CLAIM=8 | DECLARED_ABSENT=1, NOT_ASSESSED=1, PARTIAL=4, PROVISIONAL=1, RECORDED=4, RETRACTED=2, STALE=1, UNRECORDED=2
pcsk9-mace | 15 | AUDITABILITY_SCOPE=2, DECLARED_ABSENT_SECTION=2, DEFINITION_AUDIT=1, FUNDING_COI=1, GRADE_CERTAINTY=1, RANDOMISED_CONTRAST=1, REPRODUCTION_RETRACTION=1, RETRIEVAL_CLASS=2, RETRIEVAL_SNAPSHOT=1, ROB_SENSITIVITY=1, ROB_SPANCHECK=1, SEARCH_PROVENANCE=1 | BLOCKS_CLAIM=4, NOTE=4, QUALIFIES_CLAIM=7 | DECLARED_ABSENT=2, PARTIAL=2, PROVISIONAL=1, RECORDED=5, RETRACTED=2, UNRECORDED=3
probiotics-aad-prevention | 16 | AUDITABILITY_SCOPE=2, DECLARED_ABSENT_SECTION=2, DEFINITION_AUDIT=1, FUNDING_COI=1, GRADE_CERTAINTY=1, RANDOMISED_CONTRAST=1, REPRODUCTION_RETRACTION=1, RETRIEVAL_CLASS=2, RETRIEVAL_SNAPSHOT=1, ROB_SENSITIVITY=1, ROB_SPANCHECK=1, SEARCH_PROVENANCE=1, STALE_TOPIC=1 | BLOCKS_CLAIM=5, NOTE=4, QUALIFIES_CLAIM=7 | DECLARED_ABSENT=2, PARTIAL=4, PROVISIONAL=1, RECORDED=3, RETRACTED=2, STALE=1, UNRECORDED=3
sacubitril-valsartan-hfref | 14 | AUDITABILITY_SCOPE=2, DECLARED_ABSENT_SECTION=1, FUNDING_COI=1, GRADE_CERTAINTY=1, RANDOMISED_CONTRAST=1, REPRODUCTION_RETRACTION=1, RETRIEVAL_CLASS=2, RETRIEVAL_SNAPSHOT=1, ROB_SENSITIVITY=1, ROB_SPANCHECK=1, SEARCH_PROVENANCE=1, STALE_TOPIC=1 | BLOCKS_CLAIM=4, NOTE=4, QUALIFIES_CLAIM=6 | PARTIAL=1, PROVISIONAL=1, RECORDED=6, RETRACTED=2, STALE=1, UNKNOWN=1, UNRECORDED=2
semaglutide-obesity-mace | 13 | AUDITABILITY_SCOPE=2, DECLARED_ABSENT_SECTION=1, FUNDING_COI=1, GRADE_CERTAINTY=1, RANDOMISED_CONTRAST=1, REPRODUCTION_RETRACTION=1, RETRIEVAL_CLASS=2, RETRIEVAL_SNAPSHOT=1, ROB_SENSITIVITY=1, ROB_SPANCHECK=1, SEARCH_PROVENANCE=1 | BLOCKS_CLAIM=3, NOTE=4, QUALIFIES_CLAIM=6 | DECLARED_ABSENT=1, PARTIAL=1, PROVISIONAL=1, RECORDED=5, RETRACTED=2, UNRECORDED=3
semaglutide-obesity-weight | 15 | AUDITABILITY_SCOPE=2, DECLARED_ABSENT_SECTION=1, DEFINITION_AUDIT=1, FUNDING_COI=1, GRADE_CERTAINTY=1, RANDOMISED_CONTRAST=1, REPRODUCTION_RETRACTION=1, RETRIEVAL_CLASS=2, RETRIEVAL_SNAPSHOT=1, ROB_SENSITIVITY=1, ROB_SPANCHECK=1, SEARCH_PROVENANCE=1, STALE_TOPIC=1 | BLOCKS_CLAIM=4, NOTE=4, QUALIFIES_CLAIM=7 | DECLARED_ABSENT=1, PARTIAL=3, PROVISIONAL=1, RECORDED=5, RETRACTED=2, STALE=1, UNRECORDED=2
sglt2-ckd-progression | 16 | AUDITABILITY_SCOPE=2, DECLARED_ABSENT_SECTION=1, DEFINITION_AUDIT=1, FUNDING_COI=1, GRADE_CERTAINTY=1, RANDOMISED_CONTRAST=1, REPRODUCTION_RETRACTION=1, RETRIEVAL_CLASS=2, RETRIEVAL_SNAPSHOT=1, ROB_SENSITIVITY=1, ROB_SPANCHECK=1, SEARCH_ENUMERATION_ONLY=1, SEARCH_PROVENANCE=1, STALE_TOPIC=1 | BLOCKS_CLAIM=5, NOTE=4, QUALIFIES_CLAIM=7 | DECLARED_ABSENT=1, NOT_RUN=3, PARTIAL=2, PROVISIONAL=1, RECORDED=5, RETRACTED=2, STALE=1, UNRECORDED=1
sglt2-hfref-hosp-cvdeath | 17 | AUDITABILITY_SCOPE=2, DECLARED_ABSENT_SECTION=2, DEFINITION_AUDIT=1, FUNDING_COI=1, GRADE_CERTAINTY=1, RANDOMISED_CONTRAST=1, REPRODUCTION_RETRACTION=1, RETRIEVAL_CLASS=2, RETRIEVAL_SNAPSHOT=1, ROB_SENSITIVITY=1, ROB_SPANCHECK=1, SEARCH_ENUMERATION_ONLY=1, SEARCH_PROVENANCE=1, STALE_TOPIC=1 | BLOCKS_CLAIM=6, NOTE=4, QUALIFIES_CLAIM=7 | DECLARED_ABSENT=2, NOT_RUN=3, PARTIAL=2, PROVISIONAL=1, RECORDED=5, RETRACTED=2, STALE=1, UNRECORDED=1
sglt2-primary-prevention-hf | 15 | AUDITABILITY_SCOPE=2, DECLARED_ABSENT_SECTION=1, FUNDING_COI=1, GRADE_CERTAINTY=1, RANDOMISED_CONTRAST=1, REPRODUCTION_RETRACTION=1, RETRIEVAL_CLASS=2, RETRIEVAL_SNAPSHOT=1, ROB_SENSITIVITY=1, ROB_SPANCHECK=1, SEARCH_ENUMERATION_ONLY=1, SEARCH_PROVENANCE=1, STALE_TOPIC=1 | BLOCKS_CLAIM=5, NOTE=4, QUALIFIES_CLAIM=6 | NOT_RUN=3, PARTIAL=2, PROVISIONAL=1, RECORDED=5, RETRACTED=2, STALE=1, UNKNOWN=1
spironolactone-hfref-mortality | 18 | AUDITABILITY_SCOPE=2, DECLARED_ABSENT_SECTION=2, FUNDING_COI=1, GRADE_CERTAINTY=1, IDENTIFIER_SCOPE=2, RANDOMISED_CONTRAST=1, REPRODUCTION_RETRACTION=1, RETRIEVAL_CLASS=2, RETRIEVAL_SNAPSHOT=1, ROB_SENSITIVITY=1, ROB_SPANCHECK=1, SEARCH_ENUMERATION_ONLY=1, SEARCH_PROVENANCE=1, STALE_TOPIC=1 | BLOCKS_CLAIM=8, NOTE=4, QUALIFIES_CLAIM=6 | DECLARED_ABSENT=2, NOT_RUN=3, PARTIAL=3, PROVISIONAL=1, RECORDED=4, REFUSED_ON_EVIDENCE=2, RETRACTED=2, STALE=1
statins-primary-prevention-elderly | 16 | AUDITABILITY_SCOPE=2, DECLARED_ABSENT_SECTION=2, DEFINITION_AUDIT=1, FUNDING_COI=1, GRADE_CERTAINTY=1, RANDOMISED_CONTRAST=1, REPRODUCTION_RETRACTION=1, RETRIEVAL_CLASS=2, RETRIEVAL_SNAPSHOT=1, ROB_SENSITIVITY=1, ROB_SPANCHECK=1, SEARCH_PROVENANCE=1, STALE_TOPIC=1 | BLOCKS_CLAIM=5, NOTE=4, QUALIFIES_CLAIM=7 | DECLARED_ABSENT=2, PARTIAL=3, PROVISIONAL=1, RECORDED=4, RETRACTED=2, STALE=1, UNRECORDED=3
ticagrelor-vs-clopidogrel-acs | 15 | AUDITABILITY_SCOPE=2, DECLARED_ABSENT_SECTION=1, FUNDING_COI=1, GRADE_CERTAINTY=1, RANDOMISED_CONTRAST=1, REPRODUCTION_RETRACTION=1, RETRIEVAL_CLASS=2, RETRIEVAL_SNAPSHOT=1, ROB_SENSITIVITY=1, ROB_SPANCHECK=1, SEARCH_ENUMERATION_ONLY=1, SEARCH_PROVENANCE=1, STALE_TOPIC=1 | BLOCKS_CLAIM=5, NOTE=4, QUALIFIES_CLAIM=6 | DECLARED_ABSENT=1, NOT_RUN=3, PARTIAL=2, PROVISIONAL=1, RECORDED=4, RETRACTED=2, STALE=1, UNRECORDED=1
tocilizumab-covid19-mortality | 14 | AUDITABILITY_SCOPE=2, DECLARED_ABSENT_SECTION=1, FUNDING_COI=1, GRADE_CERTAINTY=1, RANDOMISED_CONTRAST=1, REPRODUCTION_RETRACTION=1, RETRIEVAL_CLASS=2, RETRIEVAL_SNAPSHOT=1, ROB_SENSITIVITY=1, ROB_SPANCHECK=1, SEARCH_PROVENANCE=1, STALE_TOPIC=1 | BLOCKS_CLAIM=4, NOTE=4, QUALIFIES_CLAIM=6 | DECLARED_ABSENT=1, PARTIAL=1, PROVISIONAL=1, RECORDED=5, RETRACTED=2, STALE=1, UNRECORDED=3
tranexamic-acid-pph | 15 | AUDITABILITY_SCOPE=2, DECLARED_ABSENT_SECTION=1, DEFINITION_AUDIT=1, FUNDING_COI=1, GRADE_CERTAINTY=1, RANDOMISED_CONTRAST=1, REPRODUCTION_RETRACTION=1, RETRIEVAL_CLASS=2, RETRIEVAL_SNAPSHOT=1, ROB_SENSITIVITY=1, ROB_SPANCHECK=1, SEARCH_PROVENANCE=1, STALE_TOPIC=1 | BLOCKS_CLAIM=4, NOTE=4, QUALIFIES_CLAIM=7 | DECLARED_ABSENT=1, PARTIAL=2, PROVISIONAL=1, RECORDED=5, RETRACTED=2, STALE=1, UNRECORDED=3
