slug | blocks on page | objects | matched | unmatched
balanced-crystalloids-vs-saline-mortality | 17 | 17 | 17 | 0
colchicine-postop-af | 15 | 15 | 15 | 0
colchicine-recurrent-pericarditis | 17 | 17 | 17 | 0
colchicine-secondary-cv-prevention | 15 | 15 | 15 | 0
corticosteroids-cap-mortality | 15 | 15 | 15 | 0
corticosteroids-covid19-mortality | 14 | 14 | 14 | 0
dapagliflozin-hfpef-hosp | 15 | 15 | 15 | 0
denosumab-vertebral-fracture | 14 | 14 | 14 | 0
doac-vte-recurrence | 15 | 15 | 15 | 0
dpp4-mace-t2d | 15 | 15 | 15 | 0
empagliflozin-hfpef-hosp | 16 | 16 | 16 | 0
esketamine-trd-madrs | 14 | 14 | 14 | 0
finerenone-ckd-t2d-renal | 15 | 15 | 15 | 0
glp1-ra-mace-t2d | 16 | 16 | 16 | 0
iv-iron-hfref-hosp | 19 | 19 | 19 | 0
melatonin-primary-insomnia-sol | 15 | 15 | 15 | 0
metformin-pcos-ovulation | 15 | 15 | 15 | 0
noac-vs-warfarin-af-stroke | 14 | 14 | 14 | 0
omega3-cardiovascular-events | 16 | 16 | 16 | 0
pcsk9-mace | 15 | 15 | 15 | 0
probiotics-aad-prevention | 16 | 16 | 16 | 0
sacubitril-valsartan-hfref | 14 | 14 | 14 | 0
semaglutide-obesity-mace | 13 | 13 | 13 | 0
semaglutide-obesity-weight | 15 | 15 | 15 | 0
sglt2-ckd-progression | 16 | 16 | 16 | 0
sglt2-hfref-hosp-cvdeath | 17 | 17 | 17 | 0
sglt2-primary-prevention-hf | 15 | 15 | 15 | 0
spironolactone-hfref-mortality | 18 | 18 | 18 | 0
statins-primary-prevention-elderly | 16 | 16 | 16 | 0
ticagrelor-vs-clopidogrel-acs | 15 | 15 | 15 | 0
tocilizumab-covid19-mortality | 14 | 14 | 14 | 0
tranexamic-acid-pph | 15 | 15 | 15 | 0
